animal,learner,pair,dim,window_bins,window_ms,ifi,degenerate,cc_peak,sig
28,1,CA1-DG,1,15,150,0.013595088667339222,0,0.2834,1
28,1,CA1-DG,1,16,160,0.02242282582413161,0,0.2834,1
28,1,CA1-DG,1,17,170,0.025788140507217686,0,0.2834,1
28,1,CA1-DG,1,18,180,0.01978571532411645,0,0.2834,1
28,1,CA1-DG,1,19,190,0.008682058010664066,0,0.2834,1
28,1,CA1-DG,1,20,200,-0.0045756457564574485,0,0.2834,1
28,1,CA1-DG,1,21,210,-0.0018771927553305672,0,0.2834,1
28,1,CA1-DG,1,22,220,0.010045981607357087,0,0.2834,1
28,1,CA1-DG,1,23,230,0.0188033363868665,0,0.2834,1
28,1,CA1-DG,1,24,240,0.019279069767441908,0,0.2834,1
28,1,CA1-DG,1,25,250,0.014379349500264151,0,0.2834,1
28,1,CA1-DG,2,1,10,-0.22372528616024975,0,0.1528,1
28,1,CA1-DG,2,2,20,-0.19651605879150785,0,0.1528,1
28,1,CA1-DG,2,3,30,-0.20434616850934048,0,0.1528,1
28,1,CA1-DG,2,4,40,-0.13102632357290744,0,0.1528,1
28,1,CA1-DG,2,5,50,-0.06677449168207025,0,0.1528,1
28,1,CA1-DG,2,6,60,-0.0007380073800737194,0,0.1528,1
28,1,CA1-DG,2,7,70,0.004591797027006005,0,0.1528,1
28,1,CA1-DG,2,8,80,-0.03656701772748091,0,0.1528,1
28,1,CA1-DG,2,9,90,-0.056074224412873304,0,0.1528,1
28,1,CA1-DG,2,10,100,-0.05910190345988012,0,0.1528,1
28,1,CA1-DG,2,11,110,-0.03376699312965948,0,0.1528,1
28,1,CA1-DG,2,12,120,0.012976516546181201,0,0.1528,1
28,1,CA1-DG,2,13,130,0.043278632769322305,0,0.1528,1
28,1,CA1-DG,2,14,140,0.03631763649718434,0,0.1528,1
28,1,CA1-DG,2,15,150,0.016097278517660633,0,0.1528,1
28,1,CA1-DG,2,16,160,0.0125630917732012,0,0.1528,1
28,1,CA1-DG,2,17,170,0.036782350202356706,0,0.1528,1
28,1,CA1-DG,2,18,180,0.05323670824332801,0,0.1528,1
28,1,CA1-DG,2,19,190,0.0649738115759465,0,0.1528,1
28,1,CA1-DG,2,20,200,0.07867723697924887,0,0.1528,1
28,1,CA1-DG,2,21,210,0.07879344663910595,0,0.1528,1
28,1,CA1-DG,2,22,220,0.055982566186647896,0,0.1528,1
28,1,CA1-DG,2,23,230,0.030442437666837192,0,0.1528,1
