animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,jac_x,jac_y,sh_x,sh_y
61,1,CA1-RSC,90.5,0.8443,0.5493,2.5,8000,0.4164,3,0.1678,0.0026,0,0.3804,0.2344,0.1463,0.1279,88.01,82.32,0.2308,0.1373,76.65,71.42
61,1,CA1-CA3,15.5,0.1368,0.0759,-72.5,6000,0.2104,1,0.0226,-0.0462,0,0.4335,0.2543,0.1922,0.2338,nan,nan,,,66.98,87.39
61,1,CA1-CA3,30.5,0.2783,0.1884,-57.5,8000,0.1853,1,0.0175,-0.0166,0,0.3745,0.25,0.2159,0.2539,74.67,78.13,0.1034,0.3846,89.79,84.19
61,1,CA1-CA3,45.5,0.4198,0.3177,-42.5,8000,0.2523,2,0.0465,0.0216,0,0.3641,0.2231,0.2376,0.2438,85.44,89.77,0.3333,0.3846,73.68,85.0
61,1,CA1-CA3,60.5,0.5613,0.4384,-27.5,6000,0.2386,2,0.0512,0.057,10,0.3271,0.2156,0.2029,0.2548,63.92,50.26,0.28,0.2857,68.06,63.77
61,1,CA1-CA3,75.5,0.7028,0.4938,-12.5,6000,0.2648,2,0.0567,0.0058,0,0.3332,0.2701,0.211,0.2666,75.37,62.47,0.2308,0.125,65.33,83.62
61,1,CA1-CA3,90.5,0.8443,0.5493,2.5,8000,0.5969,9,0.9827,0.0044,0,0.3786,0.1964,0.3642,0.4357,82.63,74.91,0.2308,0.2,87.3,78.53
61,1,CA1-DG,15.5,0.1368,0.0759,-72.5,6000,0.2948,1,0.0454,-0.0076,0,0.4312,0.2169,0.2669,0.3091,nan,nan,,,79.44,84.83
61,1,CA1-DG,30.5,0.2783,0.1884,-57.5,8000,0.2538,1,0.0333,-0.0162,0,0.38,0.178,0.276,0.3352,85.06,81.99,0.2308,0.4,82.85,87.11
61,1,CA1-DG,45.5,0.4198,0.3177,-42.5,8000,0.2651,1,0.0364,-0.0181,0,0.3649,0.1663,0.2663,0.2968,88.67,76.35,0.3913,0.4,81.13,89.1
61,1,CA1-DG,60.5,0.5613,0.4384,-27.5,6000,0.286,1,0.0427,0.0061,0,0.3376,0.1782,0.2181,0.2612,89.77,75.9,0.28,0.2727,89.35,87.97
61,1,CA1-DG,75.5,0.7028,0.4938,-12.5,6000,0.2444,1,0.0308,-0.0109,0,0.3453,0.2848,0.2446,0.3417,84.88,85.97,0.1034,0.2727,76.7,74.79
61,1,CA1-DG,90.5,0.8443,0.5493,2.5,8000,0.2884,1,0.0434,0.0823,6,0.3836,0.1423,0.2719,0.2686,84.52,83.98,0.0323,0.4,86.66,84.49
61,1,CA1-V1,15.5,0.1368,0.0759,-72.5,6000,0.1046,0,0.0,0.0014,2,0.4329,0.3989,0.1099,0.1064,nan,nan,,,89.06,84.04
61,1,CA1-V1,30.5,0.2783,0.1884,-57.5,8000,0.2318,2,0.043,-0.0205,0,0.3734,0.3054,0.1664,0.1496,88.5,85.74,0.1429,0.2632,82.33,78.09
61,1,CA1-V1,45.5,0.4198,0.3177,-42.5,8000,0.3226,6,0.2032,-0.0067,0,0.3656,0.3629,0.138,0.1441,84.88,78.2,0.28,0.2632,81.61,83.8
61,1,CA1-V1,60.5,0.5613,0.4384,-27.5,6000,-0.082,8,0.2744,0.0186,0,0.3256,0.3182,0.092,0.1119,68.52,81.92,0.28,0.2632,87.75,86.25
61,1,CA1-V1,75.5,0.7028,0.4938,-12.5,6000,0.1486,0,0.0,-0.0157,0,0.3354,0.3226,0.1291,0.1327,84.37,88.86,0.2308,0.2308,66.73,70.06
61,1,CA1-V1,90.5,0.8443,0.5493,2.5,8000,0.1754,4,0.0768,-0.0132,0,0.3786,0.3406,0.1369,0.1124,78.95,78.89,0.2308,0.3333,82.59,82.05
61,1,CA3-DG,15.5,0.1368,0.0759,-72.5,6000,0.2914,4,0.2183,0.03,0,0.2385,0.209,0.409,0.4396,nan,nan,,,81.82,70.42
61,1,CA3-DG,30.5,0.2783,0.1884,-57.5,8000,0.3311,3,0.2512,-0.0205,0,0.2379,0.1754,0.369,0.4343,87.66,88.96,0.3846,0.4,59.38,58.38
61,1,CA3-DG,45.5,0.4198,0.3177,-42.5,8000,0.3857,5,0.1901,0.003,0,0.2207,0.1632,0.3633,0.3716,78.79,64.76,0.2857,0.4,89.32,88.36
61,1,CA3-DG,60.5,0.5613,0.4384,-27.5,6000,0.3361,3,0.1874,-0.0082,0,0.1842,0.1769,0.3775,0.4154,65.76,56.16,0.2857,0.4,40.23,51.69
61,1,CA3-DG,75.5,0.7028,0.4938,-12.5,6000,0.4721,5,0.3785,-0.001,0,0.2393,0.2886,0.4478,0.4966,32.6,31.64,0.125,0.2727,41.29,38.52
61,1,CA3-DG,90.5,0.8443,0.5493,2.5,8000,0.5136,5,0.3238,0.0728,0,0.2186,0.1434,0.3931,0.3942,84.57,84.7,0.2,0.4,87.55,88.84
61,1,V1-RSC,15.5,0.1368,0.0759,-72.5,6000,0.3602,2,0.1578,0.045,0,0.3947,0.3077,0.1807,0.1607,nan,nan,,,53.1,49.49
61,1,V1-RSC,30.5,0.2783,0.1884,-57.5,8000,0.4174,5,0.3975,0.0289,0,0.3046,0.2615,0.215,0.1812,89.43,81.61,0.2308,0.234,58.42,50.2
61,1,V1-RSC,45.5,0.4198,0.3177,-42.5,8000,0.3544,5,0.3631,0.0212,0,0.3602,0.222,0.2103,0.1812,71.33,88.25,0.2632,0.381,74.69,70.87
61,1,V1-RSC,60.5,0.5613,0.4384,-27.5,6000,0.2367,3,0.3588,0.0042,0,0.3164,0.2137,0.2141,0.1838,67.45,65.76,0.2632,0.234,87.87,87.9
61,1,V1-RSC,75.5,0.7028,0.4938,-12.5,6000,0.5141,3,0.3133,0.0204,0,0.3218,0.2323,0.2055,0.2018,43.44,41.53,0.2308,0.1837,44.9,38.62
61,1,V1-RSC,90.5,0.8443,0.5493,2.5,8000,0.405,5,0.3532,0.0092,0,0.3379,0.2266,0.1965,0.196,74.54,71.38,0.2973,0.16,60.23,69.63
63,1,CA1-RSC,15.5,0.0457,0.0929,-91.5,8000,0.1076,1,0.0093,0.0461,1,0.1004,0.3053,0.1957,0.2121,nan,nan,,,50.4,55.71
63,1,CA1-RSC,30.5,0.0931,0.1029,-76.5,6000,0.1645,1,0.0137,0.0055,0,0.0991,0.266,0.1875,0.1931,72.04,76.64,0.3333,0.2727,79.13,89.31
63,1,CA1-RSC,45.5,0.1404,0.1555,-61.5,6000,0.157,1,0.0125,0.0048,2,0.1716,0.2384,0.182,0.1854,61.8,72.37,0.6,0.1667,76.27,86.15
63,1,CA1-RSC,60.5,0.1877,0.2093,-46.5,6000,0.2053,1,0.0215,0.0468,2,0.1488,0.2234,0.1998,0.2074,78.35,75.79,0.3333,0.3333,80.89,65.2
63,1,CA1-RSC,75.5,0.235,0.2606,-31.5,6000,0.2238,1,0.0257,0.0293,2,0.1047,0.2917,0.214,0.197,63.0,70.54,0.3333,0.2727,83.7,75.17
63,1,CA1-RSC,90.5,0.2823,0.3915,-16.5,6000,0.1873,1,0.0179,0.0204,2,0.1514,0.2386,0.1784,0.2278,73.44,60.31,0.6,0.2174,68.85,70.98
63,1,CA1-RSC,105.5,0.3297,0.5939,-1.5,6000,0.1971,1,0.0198,0.0047,2,0.097,0.2391,0.1844,0.2133,79.85,72.32,0.6,0.12,75.0,89.21
63,1,CA1-RSC,120.5,0.377,0.6401,13.5,6000,0.1396,1,0.0098,0.0006,2,0.0625,0.2728,0.1662,0.1729,75.26,83.64,0.6,0.3333,88.46,78.31
63,1,CA1-RSC,135.5,0.4243,0.4287,28.5,6000,0.221,1,0.025,0.0265,2,0.1549,0.2567,0.2025,0.2055,71.71,82.25,0.6,0.2727,80.52,72.87
