pair,dim,window_bins,window_ms,n_animals,mean_ifi,t,p
RSC-SUB,3,12,120,7,-0.01323304715064678,-1.0877926098118949,0.318440752652381
RSC-SUB,3,13,130,7,-0.013799066086570099,-1.0856147229475341,0.319329665208848
RSC-SUB,3,14,140,7,-0.013745994646055323,-0.9704781583781653,0.3692878242053896
RSC-SUB,3,15,150,7,-0.01309809877122285,-0.8535540748805935,0.4261097591194485
RSC-SUB,3,16,160,7,-0.01571289193052175,-0.9645315265750695,0.37202832564582505
RSC-SUB,3,17,170,7,-0.018100085639110856,-1.0765497205063994,0.3230516447781672
RSC-SUB,3,18,180,7,-0.01904234306083335,-1.101127608815953,0.3130426481284257
RSC-SUB,3,19,190,7,-0.019171585886823057,-1.0957677165564275,0.31520316451140734
RSC-SUB,3,20,200,7,-0.021019058605373914,-1.186625079596072,0.280225824200269
RSC-SUB,3,21,210,7,-0.02333273767327917,-1.2856235781676628,0.2459616292603453
RSC-SUB,3,22,220,7,-0.023785490585074582,-1.315959656331967,0.23622787865725745
RSC-SUB,3,23,230,7,-0.026119133099525262,-1.4115089565821246,0.2077889037145148
RSC-SUB,3,24,240,7,-0.027902803543792567,-1.4477408840064803,0.19784736848794685
RSC-SUB,3,25,250,7,-0.0281949190948205,-1.4496054414885882,0.19734781047698677
RSC-SUB,4,1,10,7,-0.02087437604077954,-0.8460126977932131,0.4299879668002324
RSC-SUB,4,2,20,7,-0.029390712332203472,-0.8355356004487479,0.4354188344836599
RSC-SUB,4,3,30,7,-0.04515921059253301,-1.0411532651567041,0.3379279506932496
RSC-SUB,4,4,40,7,-0.0490460448431838,-1.1417271033218472,0.297075906910215
RSC-SUB,4,5,50,7,-0.04571501122777321,-1.1771432625714495,0.28371468618421986
RSC-SUB,4,6,60,7,-0.04296137045197991,-1.2397783064694066,0.26134497770999915
RSC-SUB,4,7,70,7,-0.026498078526342086,-1.1221940885470603,0.30467024060521836
RSC-SUB,4,8,80,7,-0.020550867823137805,-1.0156986009291586,0.34896654846145203
RSC-SUB,4,9,90,7,-0.012265664989913175,-0.7546546322175801,0.4790189233314619
RSC-SUB,4,10,100,7,-0.010844134199662193,-0.7265486799071758,0.49485892734654846
RSC-SUB,4,11,110,7,-0.011518718546108106,-0.834847506364617,0.4357772593413253
RSC-SUB,4,12,120,7,-0.006785293739263401,-0.5539297863771716,0.5996471003878366
RSC-SUB,4,13,130,7,-0.004104546561231491,-0.4142878988122127,0.6930664199538972
RSC-SUB,4,14,140,7,-0.006860712631197245,-0.8399077538591587,0.4331464314934109
RSC-SUB,4,15,150,7,-0.01109224145177803,-1.3602238276269658,0.22264271797761184
RSC-SUB,4,16,160,7,-0.014459385792743645,-1.7327926766938597,0.13383728167568767
RSC-SUB,4,17,170,7,-0.017520849252883868,-1.9794435953245586,0.09509723883065095
RSC-SUB,4,18,180,7,-0.018336732912498137,-1.9511121296513314,0.0989063507029422
RSC-SUB,4,19,190,7,-0.019413859046960857,-1.841596249307929,0.11512320118122246
RSC-SUB,4,20,200,7,-0.020528378896786093,-1.78459903911575,0.1245809660583462
RSC-SUB,4,21,210,7,-0.023622915358239523,-1.8150277004997108,0.11944024717801521
RSC-SUB,4,22,220,7,-0.025165945856026873,-1.8381095418626612,0.11568082514337916
RSC-SUB,4,23,230,7,-0.02424893502757094,-1.6877201110572808,0.1424333260849117
RSC-SUB,4,24,240,7,-0.023705432616606216,-1.4877956074311887,0.18736929201781916
