animal,learner,pair,dim,ifi,peak_lag_ms,cc_max,cc_at_zero,sig,n_sig
75,1,CA1-DG,13,-0.26669181440965667,-10.0,0.0422,0.0287,0,2
75,1,CA1-DG,14,-0.03055175558595532,0.0,0.0217,0.0217,0,2
75,1,CA1-DG,15,-0.2509742790335151,-90.0,0.0282,0.0002,0,2
75,1,CA1-DG,16,0.004616805170821804,-30.0,0.0253,-0.0053,0,2
75,1,CA1-DG,17,-0.3025862068965518,-10.0,0.0533,-0.0052,0,2
75,1,CA1-DG,18,-0.548646671543526,-20.0,0.0671,-0.0102,0,2
75,1,CA1-DG,19,0.06885245901639339,-200.0,0.016,-0.0151,0,2
75,1,CA1-DG,20,-0.32101167315175094,-20.0,0.023,0.0061,0,2
75,1,CA1-DG,21,,,,,0,2
75,1,CA1-RSC,1,0.32924335378323116,10.0,0.0521,0.0172,1,2
75,1,CA1-RSC,2,0.09108607982199982,120.0,0.0475,0.0471,0,2
75,1,CA1-RSC,3,0.2549606888805691,0.0,0.0532,0.0532,0,2
75,1,CA1-RSC,4,0.07116412998765947,40.0,0.0319,0.0239,0,2
75,1,CA1-RSC,5,-0.13775971093044267,-220.0,0.033,0.0315,0,2
75,1,CA1-RSC,6,-0.21414082874529122,-230.0,0.0273,0.0102,0,2
75,1,CA1-RSC,7,0.03790849673202607,-160.0,0.0323,0.0141,0,2
75,1,CA1-RSC,8,-0.010633772862611683,-200.0,0.026,0.0147,0,2
75,1,CA1-RSC,9,0.0828182941903584,-130.0,0.032,0.018,0,2
75,1,CA1-RSC,10,-0.2701375245579568,-70.0,0.0267,0.0225,0,2
75,1,CA1-RSC,11,-0.07999999999999995,-250.0,0.0235,0.0144,0,2
75,1,CA1-RSC,12,-0.19314285714285712,220.0,0.0213,0.006,0,2
75,1,CA1-RSC,13,-0.20421511627906977,-120.0,0.0328,0.0054,0,2
75,1,CA1-RSC,14,-0.1726269315673289,-180.0,0.0271,-0.0091,0,2
75,1,CA1-RSC,15,-0.013912075681691744,140.0,0.0227,-0.0105,0,2
75,1,CA1-RSC,16,-0.0831259333001494,-170.0,0.025,-0.0208,0,2
75,1,CA1-RSC,17,0.20518358531317493,0.0,0.0505,0.0505,0,2
75,1,CA1-RSC,18,0.32420091324200906,220.0,0.0232,0.0129,0,2
75,1,CA1-RSC,19,-0.22576079263977344,-50.0,0.0327,0.016,1,2
75,1,CA1-RSC,20,-0.27530152071316205,-80.0,0.0237,-0.0155,0,2
75,1,CA1-RSC,21,,,,,0,2
75,1,CA1-SUB,1,-0.1570896648887995,0.0,0.0943,0.0943,1,3
75,1,CA1-SUB,2,-0.011176022352044757,0.0,0.0458,0.0458,0,3
75,1,CA1-SUB,3,-0.15960013788348848,0.0,0.0742,0.0742,0,3
75,1,CA1-SUB,4,0.05508330499829991,150.0,0.0392,0.0321,0,3
75,1,CA1-SUB,5,-0.0655408122235625,-180.0,0.0351,0.0218,0,3
75,1,CA1-SUB,6,-0.17873051224944314,-230.0,0.0277,-0.0023,0,3
75,1,CA1-SUB,7,0.1222195646974408,-200.0,0.0293,0.0183,0,3
75,1,CA1-SUB,8,-0.0434324822321663,-10.0,0.0356,0.0079,0,3
