animal,learner,pair,epoch,bin_ms,lag_bins,lag_ms,n_samples,cc1,cc_mean3,n_sig,angle_x,angle_y,angle_x_cc1,angle_y_cc1,floor_x,floor_y,floor_x_cc1,floor_y_cc1,gini_x_conn,gini_y_conn,angle_ff_fb_x,angle_ff_fb_y,angle_ff_fb_cc1
28,1,CA1-CA3,intermediate,10,5,50,5950,0.0417,0.0477,2,88.95,89.26,87.43,76.87,60.5,81.29,50.79,44.43,0.4448,0.7072,89.34,59.31,63.74
28,1,CA1-CA3,intermediate,10,-5,-50,5950,0.1456,0.0494,2,77.2,84.59,83.64,42.74,60.5,81.29,50.79,44.43,0.3529,0.5337,89.34,59.31,63.74
28,1,CA1-CA3,intermediate,10,7,70,5930,0.0615,0.0311,2,78.67,74.42,44.41,38.38,60.5,81.29,50.79,44.43,0.2844,0.539,89.34,59.31,63.74
28,1,CA1-CA3,intermediate,10,-7,-70,5930,0.0937,0.0274,2,83.9,85.69,42.48,38.06,60.5,81.29,50.79,44.43,0.3377,0.5514,89.34,59.31,63.74
28,1,CA1-CA3,intermediate,10,10,100,5900,0.118,0.0408,2,84.38,82.55,88.95,33.82,60.5,81.29,50.79,44.43,0.3376,0.5447,89.34,59.31,63.74
28,1,CA1-CA3,intermediate,10,-10,-100,5900,0.0781,0.0534,2,87.07,84.3,70.12,78.12,60.5,81.29,50.79,44.43,0.3546,0.4726,89.34,59.31,63.74
28,1,CA1-CA3,intermediate,10,15,150,5850,0.1436,0.0439,2,87.26,84.86,35.48,44.01,60.5,81.29,50.79,44.43,0.3897,0.5582,89.34,59.31,63.74
28,1,CA1-CA3,intermediate,10,-15,-150,5850,0.0666,0.0452,2,86.46,89.73,87.76,21.9,60.5,81.29,50.79,44.43,0.3687,0.5372,89.34,59.31,63.74
28,1,CA1-CA3,intermediate,10,20,200,5800,0.0443,0.025,2,86.34,69.25,55.84,64.45,60.5,81.29,50.79,44.43,0.3139,0.6076,89.34,59.31,63.74
28,1,CA1-CA3,intermediate,10,-20,-200,5800,0.0731,0.0304,2,81.6,70.68,87.64,28.48,60.5,81.29,50.79,44.43,0.3375,0.4633,89.34,59.31,63.74
28,1,CA1-CA3,intermediate,10,25,250,5750,0.0319,0.0264,2,81.66,77.81,79.37,37.14,60.5,81.29,50.79,44.43,0.3587,0.5904,89.34,59.31,63.74
28,1,CA1-CA3,intermediate,10,-25,-250,5750,-0.0114,0.0052,2,86.43,55.93,83.05,78.82,60.5,81.29,50.79,44.43,0.4359,0.5536,89.34,59.31,63.74
28,1,CA1-DG,intermediate,10,0,0,6000,0.2383,0.1185,1,0.0,0.0,0.0,0.0,85.25,57.71,44.24,30.82,0.341,0.3638,89.86,82.47,64.78
28,1,CA1-DG,intermediate,10,1,10,5990,0.119,0.0688,1,55.39,75.23,46.4,34.81,85.25,57.71,44.24,30.82,0.3726,0.3586,89.86,82.47,64.78
28,1,CA1-DG,intermediate,10,-1,-10,5990,0.1797,0.0808,1,75.56,67.55,35.58,26.38,85.25,57.71,44.24,30.82,0.3351,0.4069,89.86,82.47,64.78
28,1,CA1-DG,intermediate,10,2,20,5980,0.0797,0.0639,1,82.71,84.29,52.63,36.68,85.25,57.71,44.24,30.82,0.3079,0.3167,89.86,82.47,64.78
28,1,CA1-DG,intermediate,10,-2,-20,5980,0.1405,0.0546,1,87.83,47.11,51.8,18.78,85.25,57.71,44.24,30.82,0.3633,0.3963,89.86,82.47,64.78
28,1,CA1-DG,intermediate,10,3,30,5970,0.0971,0.0383,1,77.46,62.9,80.51,26.1,85.25,57.71,44.24,30.82,0.2523,0.2432,89.86,82.47,64.78
28,1,CA1-DG,intermediate,10,-3,-30,5970,0.0956,0.0518,1,87.5,80.25,75.94,33.85,85.25,57.71,44.24,30.82,0.2756,0.2512,89.86,82.47,64.78
28,1,CA1-DG,intermediate,10,4,40,5960,0.1066,0.0635,1,71.84,75.4,80.56,22.22,85.25,57.71,44.24,30.82,0.2753,0.2632,89.86,82.47,64.78
28,1,CA1-DG,intermediate,10,-4,-40,5960,0.0864,0.0718,1,87.51,67.02,88.32,45.1,85.25,57.71,44.24,30.82,0.3434,0.3081,89.86,82.47,64.78
28,1,CA1-DG,intermediate,10,5,50,5950,0.1631,0.0573,1,59.02,55.23,74.71,29.9,85.25,57.71,44.24,30.82,0.346,0.3989,89.86,82.47,64.78
28,1,CA1-DG,intermediate,10,-5,-50,5950,0.0802,0.0436,1,88.71,64.01,53.03,84.02,85.25,57.71,44.24,30.82,0.3251,0.2659,89.86,82.47,64.78
28,1,CA1-DG,intermediate,10,7,70,5930,0.128,0.0582,1,84.09,72.51,54.97,53.76,85.25,57.71,44.24,30.82,0.3711,0.3863,89.86,82.47,64.78
28,1,CA1-DG,intermediate,10,-7,-70,5930,0.088,0.0413,1,78.94,89.63,58.15,67.37,85.25,57.71,44.24,30.82,0.3833,0.2426,89.86,82.47,64.78
28,1,CA1-DG,intermediate,10,10,100,5900,0.0791,0.0332,1,81.74,56.37,71.16,51.42,85.25,57.71,44.24,30.82,0.3116,0.2852,89.86,82.47,64.78
28,1,CA1-DG,intermediate,10,-10,-100,5900,0.1226,0.0706,1,86.78,88.59,79.02,28.07,85.25,57.71,44.24,30.82,0.261,0.2711,89.86,82.47,64.78
28,1,CA1-DG,intermediate,10,15,150,5850,0.0748,0.0468,1,79.27,84.51,37.25,36.81,85.25,57.71,44.24,30.82,0.2962,0.3833,89.86,82.47,64.78
28,1,CA1-DG,intermediate,10,-15,-150,5850,0.1413,0.0561,1,83.87,80.49,51.04,41.15,85.25,57.71,44.24,30.82,0.3865,0.4694,89.86,82.47,64.78
28,1,CA1-DG,intermediate,10,20,200,5800,0.0589,0.0084,1,86.38,73.5,58.87,38.73,85.25,57.71,44.24,30.82,0.2611,0.2301,89.86,82.47,64.78
28,1,CA1-DG,intermediate,10,-20,-200,5800,0.0014,0.0044,1,86.25,84.58,71.71,87.67,85.25,57.71,44.24,30.82,0.2931,0.1338,89.86,82.47,64.78
28,1,CA1-DG,intermediate,10,25,250,5750,0.0612,0.0265,1,87.04,76.91,73.98,41.84,85.25,57.71,44.24,30.82,0.3494,0.1869,89.86,82.47,64.78
28,1,CA1-DG,intermediate,10,-25,-250,5750,0.0264,0.0076,1,79.1,69.68,73.53,61.93,85.25,57.71,44.24,30.82,0.3968,0.1196,89.86,82.47,64.78
28,1,CA1-V1,intermediate,10,0,0,6000,0.0138,0.0191,0,0.0,0.0,0.0,0.0,72.72,89.54,76.14,84.08,0.3206,0.5008,87.51,82.27,88.74
28,1,CA1-V1,intermediate,10,1,10,5990,0.0466,0.0351,0,61.23,66.13,46.72,55.32,72.72,89.54,76.14,84.08,0.2422,0.4727,87.51,82.27,88.74
28,1,CA1-V1,intermediate,10,-1,-10,5990,0.0384,0.0133,0,77.85,77.77,44.91,36.52,72.72,89.54,76.14,84.08,0.3519,0.4825,87.51,82.27,88.74
28,1,CA1-V1,intermediate,10,2,20,5980,0.0705,0.0259,0,61.57,89.12,59.7,57.69,72.72,89.54,76.14,84.08,0.3573,0.4844,87.51,82.27,88.74
28,1,CA1-V1,intermediate,10,-2,-20,5980,0.04,0.0367,0,71.81,81.05,47.88,50.34,72.72,89.54,76.14,84.08,0.3337,0.494,87.51,82.27,88.74
28,1,CA1-V1,intermediate,10,3,30,5970,0.0218,0.0053,0,84.47,78.91,60.97,46.73,72.72,89.54,76.14,84.08,0.3276,0.4942,87.51,82.27,88.74
28,1,CA1-V1,intermediate,10,-3,-30,5970,0.0886,0.0391,0,86.17,79.18,48.53,49.34,72.72,89.54,76.14,84.08,0.3306,0.4911,87.51,82.27,88.74
28,1,CA1-V1,intermediate,10,4,40,5960,0.0305,0.034,0,75.34,82.9,44.87,46.38,72.72,89.54,76.14,84.08,0.2969,0.5036,87.51,82.27,88.74
28,1,CA1-V1,intermediate,10,-4,-40,5960,-0.0143,-0.0061,0,89.49,86.9,74.31,56.09,72.72,89.54,76.14,84.08,0.3305,0.5029,87.51,82.27,88.74
28,1,CA1-V1,intermediate,10,5,50,5950,0.0316,0.0198,0,88.73,88.78,74.51,61.41,72.72,89.54,76.14,84.08,0.3079,0.5015,87.51,82.27,88.74
28,1,CA1-V1,intermediate,10,-5,-50,5950,0.0066,0.0201,0,88.5,86.37,87.81,89.25,72.72,89.54,76.14,84.08,0.3582,0.4882,87.51,82.27,88.74
28,1,CA1-V1,intermediate,10,7,70,5930,0.0016,0.0056,0,75.61,83.79,44.56,41.51,72.72,89.54,76.14,84.08,0.3382,0.5061,87.51,82.27,88.74
28,1,CA1-V1,intermediate,10,-7,-70,5930,0.0374,0.0084,0,85.55,70.72,57.91,56.61,72.72,89.54,76.14,84.08,0.34,0.4952,87.51,82.27,88.74
28,1,CA1-V1,intermediate,10,10,100,5900,0.0801,0.032,0,75.6,85.85,62.91,65.19,72.72,89.54,76.14,84.08,0.3857,0.5261,87.51,82.27,88.74
28,1,CA1-V1,intermediate,10,-10,-100,5900,0.0666,0.0405,0,89.38,82.16,59.71,50.19,72.72,89.54,76.14,84.08,0.3169,0.4921,87.51,82.27,88.74
28,1,CA1-V1,intermediate,10,15,150,5850,0.0742,0.0272,0,73.14,79.49,49.04,49.54,72.72,89.54,76.14,84.08,0.2958,0.5174,87.51,82.27,88.74
28,1,CA1-V1,intermediate,10,-15,-150,5850,0.0019,0.0042,0,69.49,79.06,56.67,43.25,72.72,89.54,76.14,84.08,0.3618,0.5013,87.51,82.27,88.74
28,1,CA1-V1,intermediate,10,20,200,5800,0.0197,0.0089,0,80.37,81.38,70.16,85.08,72.72,89.54,76.14,84.08,0.3216,0.5175,87.51,82.27,88.74
28,1,CA1-V1,intermediate,10,-20,-200,5800,0.0196,0.0057,0,83.27,85.99,75.06,74.51,72.72,89.54,76.14,84.08,0.3169,0.5124,87.51,82.27,88.74
