animal,learner,pair,bin,trial_lo,trial_hi,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
70,0,RSC-SUB,3,11,15,8000,0.4454,5,0.2756,-0.0496,-5,0.3887,0.3405
70,0,RSC-SUB,4,16,20,8000,0.2863,15,1.0896,0.0576,0,0.4138,0.3234
70,0,RSC-SUB,5,21,25,8000,-0.0051,4,0.1287,0.036,0,0.3952,0.3003
70,0,RSC-SUB,6,26,30,8000,0.0217,2,0.062,0.1857,2,0.4296,0.337
70,0,V1-RSC,1,1,5,8000,-0.0238,7,0.5306,0.026,0,0.3219,0.4881
70,0,V1-RSC,2,6,10,8000,0.1354,9,0.6276,0.0433,0,0.2985,0.3809
70,0,V1-RSC,3,11,15,8000,0.5676,8,0.6971,0.0311,0,0.2559,0.386
70,0,V1-RSC,4,16,20,8000,0.5843,6,0.401,-0.0236,0,0.2857,0.4096
70,0,V1-RSC,5,21,25,8000,0.1773,14,2.1974,0.0146,0,0.303,0.3933
70,0,V1-RSC,6,26,30,8000,0.1518,6,0.46,0.0344,0,0.3294,0.4336
71,0,CA1-RSC,1,1,5,8000,-0.0546,11,0.3466,0.0183,0,0.3001,0.5251
71,0,CA1-RSC,2,6,10,8000,0.0443,6,0.2711,-0.0256,-4,0.3707,0.5171
71,0,CA1-RSC,3,11,15,8000,0.1188,7,0.1759,0.0078,1,0.2433,0.4797
71,0,CA1-RSC,4,16,20,8000,-0.3236,10,0.2254,-0.0491,-2,0.2659,0.4866
71,0,CA1-RSC,5,21,25,8000,0.0142,4,0.1444,-0.0156,0,0.2181,0.4289
71,0,CA1-RSC,6,26,30,8000,0.2104,5,0.1615,0.0161,-5,0.2282,0.4173
71,0,CA1-CA3,1,1,5,8000,0.0393,10,0.6299,-0.0185,0,0.3063,0.3449
71,0,CA1-CA3,2,6,10,8000,0.6403,11,1.6321,-0.0114,0,0.3718,0.386
71,0,CA1-CA3,3,11,15,8000,0.3646,9,0.7136,-0.0811,0,0.2427,0.3675
71,0,CA1-CA3,4,16,20,8000,0.2162,5,0.2989,-0.0155,0,0.2662,0.3541
71,0,CA1-CA3,5,21,25,8000,0.5537,6,0.4425,-0.0078,0,0.2178,0.3403
71,0,CA1-CA3,6,26,30,8000,-0.0195,3,0.1345,-0.0629,0,0.2293,0.3204
71,0,CA1-DG,1,1,5,8000,0.3381,8,0.1867,0.0279,0,0.3046,0.5274
71,0,CA1-DG,2,6,10,8000,0.1855,5,0.257,0.0733,1,0.3691,0.5243
71,0,CA1-DG,3,11,15,8000,-0.015,7,0.1376,0.0823,1,0.2404,0.487
71,0,CA1-DG,4,16,20,8000,0.3562,14,0.3394,0.0776,0,0.2654,0.4859
71,0,CA1-DG,5,21,25,8000,0.198,1,0.02,0.0833,0,0.2092,0.4808
71,0,CA1-DG,6,26,30,8000,0.2079,1,0.0221,0.0541,0,0.2288,0.4461
71,0,CA1-V1,1,1,5,8000,-0.4942,8,0.8504,-0.0076,0,0.3043,0.3201
71,0,CA1-V1,2,6,10,8000,0.4116,4,0.1774,-0.0142,3,0.3707,0.3107
71,0,CA1-V1,3,11,15,8000,0.0877,10,0.6078,0.0067,-5,0.2434,0.2966
71,0,CA1-V1,4,16,20,8000,-0.2886,2,0.0985,0.0751,4,0.2652,0.312
71,0,CA1-V1,5,21,25,8000,0.2817,10,0.5033,-0.0163,0,0.2181,0.282
71,0,CA1-V1,6,26,30,8000,-0.0372,3,0.0824,0.0381,-1,0.2287,0.2836
71,0,CA3-DG,1,1,5,8000,0.4534,12,0.4156,0.0347,0,0.3366,0.5245
71,0,CA3-DG,2,6,10,8000,0.3532,7,0.3527,-0.0035,0,0.3856,0.5226
71,0,CA3-DG,3,11,15,8000,0.5037,10,0.3382,0.0187,0,0.3579,0.4844
71,0,CA3-DG,4,16,20,8000,0.1636,10,0.2702,-0.0163,0,0.3533,0.4923
71,0,CA3-DG,5,21,25,8000,0.4257,3,0.1874,0.0123,0,0.3356,0.4796
71,0,CA3-DG,6,26,30,8000,0.4802,3,0.2233,0.045,0,0.3203,0.449
71,0,CA1-SUB,1,1,5,8000,-0.0637,5,0.1219,-0.0271,0,0.3059,0.2053
71,0,CA1-SUB,2,6,10,8000,0.285,4,0.3496,-0.0002,0,0.3714,0.1754
71,0,CA1-SUB,3,11,15,8000,0.3579,6,0.2992,0.0125,0,0.2436,0.1754
71,0,CA1-SUB,4,16,20,8000,-0.3143,9,0.6844,-0.0061,0,0.2657,0.1705
71,0,CA1-SUB,5,21,25,8000,-0.1284,4,0.1206,0.006,0,0.2181,0.1627
71,0,CA1-SUB,6,26,30,8000,0.2101,7,0.1137,0.0349,0,0.229,0.166
71,0,RSC-SUB,1,1,5,8000,0.2592,9,0.5159,-0.0529,0,0.5282,0.1875
71,0,RSC-SUB,2,6,10,8000,-0.1003,17,1.3571,-0.0147,0,0.5139,0.1526
71,0,RSC-SUB,3,11,15,8000,0.4143,12,0.4146,0.0174,0,0.4757,0.1617
71,0,RSC-SUB,4,16,20,8000,-0.0691,17,0.4373,-0.0184,0,0.4846,0.1504
71,0,RSC-SUB,5,21,25,8000,0.1131,9,0.5384,-0.0039,0,0.4268,0.1293
