animal,pair,epoch,area,n_units,rho_contrib_conn,rho_contrib_conn_ratepart,rho_contrib,rho_contrib_ratepart,rho_rate_rel,rho_contrib_conn_tune,rho_contrib_conn_tune_ratepart,rho_contrib_tune,rho_contrib_tune_ratepart,rho_rate_tune,rho_contrib_conn_tomrel,rho_contrib_conn_tomrel_ratepart,rho_rate_tomrel,rho_rel_tomrel
63,CA1-RSC,intermediate,CA1,13,0.0659,-0.0701,-0.2143,-0.0333,0.3791,-0.1374,-0.2319,-0.1154,-0.0047,0.2253,0.1319,-0.0008,0.3956,0.9011
63,CA1-RSC,intermediate,RSC,55,-0.0509,-0.2765,0.1611,-0.0274,0.3887,0.2058,-0.1866,0.3239,-0.0193,0.7119,0.0192,-0.272,0.5043,0.8848
63,CA1-RSC,naive,CA1,13,0.0385,-0.0967,-0.4725,-0.3835,0.3297,0.1923,0.0119,-0.5879,-0.4701,0.489,0.1868,0.0638,0.3516,0.7582
63,CA1-RSC,naive,RSC,55,0.4545,0.2657,0.3734,0.1683,0.6806,0.3508,0.1494,0.2625,0.0492,0.5924,0.2851,0.0933,0.5224,0.891
66,CA1-DG,expert,CA1,29,0.3345,-0.3413,0.2803,0.0405,0.6261,0.5047,-0.1454,0.3448,0.1539,0.7367,0.3719,-0.2634,0.6266,0.9236
66,CA1-DG,expert,DG,33,0.4749,-0.0591,-0.1437,-0.1212,0.6688,0.6207,0.132,-0.1795,-0.1801,0.7473,0.6447,0.1693,0.7597,0.8386
66,CA1-DG,intermediate,CA1,28,0.1938,-0.4121,0.0263,-0.0992,0.5813,0.2888,-0.4576,0.0269,-0.055,0.7338,0.1921,-0.4141,0.5532,0.9524
66,CA1-DG,intermediate,DG,33,0.5775,0.1701,-0.2236,-0.0501,0.64,0.6197,0.2303,-0.1638,0.04,0.6598,0.6888,0.3223,0.7032,0.8509
66,CA1-DG,naive,CA1,27,0.1984,0.0717,0.3895,0.3835,0.1966,0.5324,-0.0692,0.3322,0.3026,0.6929,0.4108,0.2495,0.3372,0.7265
66,CA1-DG,naive,DG,33,0.7734,0.6332,0.2784,0.1961,0.5765,0.6925,0.4981,0.1761,0.0723,0.5555,0.6588,0.3831,0.5979,0.7871
