animal,area,epoch,n_units,n_partners,rho_pooled,rho_pooled_ratepart,rho_pooled_tune,rho_pooled_tune_ratepart,rho_pooled_tomrel,rho_pooled_tomrel_ratepart
61,CA1,expert,64,4,0.2703052995391705,-0.040490721472419194,0.5355932203389833,0.16836344401703326,0.37440476190476185,0.0665434972019851
61,CA1,intermediate,64,4,0.33919413919413915,0.015106019242616467,0.3789385940539039,-0.19852778187392522,0.375,0.07721853140337254
61,CA1,naive,64,4,0.3250768049155146,0.16534345069657638,0.26868131868131867,-0.1026177704959304,0.23449500768049153,0.05764760654246892
61,CA3,expert,33,2,0.14435483870967744,-0.068201135574741,0.3300492610837438,-0.02123465534571991,0.24112903225806454,-0.10414111175690774
61,CA3,intermediate,33,2,0.4904214559386973,0.2368267260971619,0.3519430760810071,-0.003459856916861709,0.4251390433815351,-0.04398134162165704
61,CA3,naive,33,2,0.19955506117908786,-0.01345714167400315,0.307230255839822,-0.14929491070585832,0.0020022246941045607,-0.324207908653668
61,DG,expert,25,2,0.248695652173913,-0.04685048839601781,0.5513833992094862,-0.06297669922430807,0.5153846153846153,0.12199506224851099
61,DG,intermediate,25,2,0.24449463579898364,-0.2560465556071529,0.5533834586466165,-0.028134729188237513,0.5876923076923077,0.0331425983124932
61,DG,naive,25,2,0.34285714285714286,0.09710083409021908,0.5597402597402598,0.031230447258443275,0.6007905138339922,0.2322598401139573
61,RSC,expert,115,2,0.16201372997711672,0.1479029420380948,0.007756647991793578,-0.017409835204133348,0.12399589678844788,0.10932625224864591
61,RSC,intermediate,115,2,0.36630632052394857,0.30751621344085667,0.20812751518977354,0.1480552787434063,0.302209421604987,0.2653512570973504
61,RSC,naive,115,2,0.4750256450722008,0.3986407748579471,0.38746942318314526,0.279162095218233,0.34552197585417826,0.2954913797378477
61,V1,expert,93,2,0.3625675151442809,0.18537491924638105,0.30961885239585096,0.06803499514324705,0.28414550446122167,0.1197413116355824
61,V1,intermediate,93,2,0.20922121356903967,0.17880223149802202,0.17939984279395219,0.12883344173006264,0.26022798484079845,0.2166756526928161
61,V1,naive,93,2,0.33660945795777253,0.20196899696022846,0.15281095715878326,-0.13916491027624217,0.20054559746004344,0.0222210908803775
63,CA1,expert,13,1,-0.3131868131868132,-0.6910383350064799,-0.19780219780219782,-0.5854678541829781,-0.21978021978021978,-0.6088365627621884
63,CA1,intermediate,13,1,0.06593406593406594,-0.07012181087792495,-0.13736263736263735,-0.23189581170395882,0.13186813186813187,-0.0008373407341518341
63,CA1,naive,13,1,0.03846153846153846,-0.09673366409314313,0.19230769230769232,0.011865295818660887,0.1868131868131868,0.06383247585843173
63,RSC,expert,55,1,0.05668000762340384,-0.1779687331970372,0.161976911976912,-0.22799132368117878,0.05223665223665225,-0.26523815738823914
63,RSC,intermediate,55,1,-0.05093795093795095,-0.27651899802377505,0.20577200577200583,-0.18664640125961193,0.019191919191919198,-0.2719796735280364
63,RSC,naive,55,1,0.45454545454545464,0.26574442652376695,0.3507936507936509,0.1494124796699124,0.2850649350649351,0.09334759022921278
66,CA1,expert,29,4,0.48325123152709354,-0.0655671724221444,0.5730706075533661,-0.03750043482201863,0.502463054187192,-0.023569577589514105
66,CA1,intermediate,29,4,0.4466338259441708,0.05673759346729873,0.41819291819291815,-0.16136748441813223,0.42561576354679787,0.027695851589307548
66,CA1,naive,29,4,0.43467643467643463,0.3988404022741602,0.49315818281335516,0.1378203957106287,0.6392993979200876,0.5799077641634377
66,DG,expert,33,1,0.47493315508021394,-0.05908884916665617,0.6206550802139038,0.13196142265694005,0.6447192513368984,0.16932476805622498
66,DG,intermediate,33,1,0.5775401069518717,0.17011358231748858,0.6196524064171124,0.2302733849465022,0.688836898395722,0.32229600695632393
66,DG,naive,33,1,0.7733957219251337,0.633224937970052,0.6925133689839572,0.4981158703849645,0.6587566844919787,0.38306050365064354
66,RSC,expert,18,3,0.6408668730650156,0.6251838598753718,0.25696594427244585,0.14766353061301202,0.5500515995872033,0.5166761272658814
66,RSC,intermediate,18,3,0.39938080495356043,0.3170811820123206,0.23839009287925697,-0.0314411510603075,0.28998968008255926,0.16209890183627035
66,RSC,naive,18,3,0.5211558307533539,0.4695865013184416,0.3106295149638803,0.18042665024155521,0.5810113519091847,0.5377189710557974
66,SUB,expert,13,2,0.8956043956043955,0.8968001813502307,0.8076923076923077,0.8033822598831752,0.7857142857142857,0.7818910306427788
66,SUB,intermediate,13,2,0.7197802197802198,0.7181082795941501,0.521978021978022,0.5221687056692321,0.5494505494505494,0.5494951743253231
66,SUB,naive,13,2,0.6538461538461539,0.6268503997153793,0.576923076923077,0.5388604479570693,0.6593406593406593,0.6327745233392345
66,V1,expert,22,2,0.2173913043478261,0.1129988860800351,0.044607566346696784,-0.18519051401175038,0.06606437041219651,-0.04096531204233443
66,V1,intermediate,22,2,0.4726143421795596,0.4467848659230753,0.27611518915866745,0.1459230363597579,0.2275550536420102,0.1884451523469906
66,V1,naive,22,2,0.5482778091473745,0.48826247389570315,0.22868435911914178,0.03829757305537682,0.32580463015245625,0.24339334308836866
68,CA1,expert,18,3,-0.06707946336429307,-0.10888721205147893,0.3684210526315789,-0.39231367088282676,-0.1042311661506708,-0.09442000178262067
68,CA1,intermediate,18,3,-0.034055727554179564,-0.03969386338735875,0.31475748194014447,-0.39431038028809123,-0.13106295149638802,-0.3801079256672912
68,CA1,naive,18,3,-0.6945304437564499,-0.7690906397786959,-0.2528379772961816,-0.4718102484658435,-0.3684210526315789,-0.4629750593556101
68,CA3,expert,12,2,0.5174825174825175,0.5301620555459874,0.7902097902097903,0.5682616937608146,0.6013986013986015,0.5750421422007821
