animal,learner,pair,epoch,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_x_conn,gini_y_conn,gini_x_sig,gini_y_sig
75,1,RSC-SUB,intermediate,27132,-0.4369,14,1.7722,-0.0283,0,0.5856,0.2206,0.5675,0.2583,0.5871,0.2406
75,1,RSC-SUB,expert,25685,0.3334,10,0.1832,-0.0129,0,0.5592,0.2036,0.5354,0.2478,0.5451,0.2454
75,1,V1-RSC,naive,25623,0.5307,13,1.013,-0.0011,0,0.3369,0.6604,0.3203,0.6392,0.323,0.6487
75,1,V1-RSC,intermediate,27132,-0.1895,6,0.5792,0.0237,0,0.275,0.5814,0.3033,0.6022,0.3116,0.6047
75,1,V1-RSC,expert,25685,0.3355,4,0.1692,0.0046,0,0.2832,0.5532,0.283,0.5006,0.3298,0.5109
77,1,CA1-RSC,naive,34692,0.1084,1,0.0059,-0.0458,0,0.1806,0.5719,0.4308,0.5194,0.583,0.5676
77,1,CA1-RSC,intermediate,26400,0.0598,0,0.0,0.0016,0,0.069,0.4297,0.1894,0.4273,nan,nan
77,1,CA1-RSC,expert,25884,0.2771,3,0.0703,0.0116,1,0.0576,0.4183,0.3203,0.4694,0.2084,0.46
77,1,CA1-DG,naive,34692,-0.0449,3,0.0709,-0.1053,0,0.2114,0.6492,0.1631,0.0557,0.1622,0.0533
77,1,CA1-DG,intermediate,26400,0.0134,1,0.0009,0.0338,-1,0.1409,0.0921,0.1949,0.2568,0.3893,0.4815
77,1,CA1-DG,expert,25884,-0.0761,3,0.0458,-0.0583,-1,0.067,0.1171,0.105,0.1643,0.086,0.154
77,1,CA1-V1,naive,34692,-0.1611,3,0.0631,0.0526,0,0.1821,0.1678,0.1696,0.2968,0.1829,0.2992
77,1,CA1-V1,intermediate,26400,0.0516,1,0.0013,-0.0031,0,0.0683,0.0978,0.2489,0.1998,0.3808,0.3741
77,1,CA1-V1,expert,25884,-0.103,3,0.0323,0.0368,0,0.057,0.0879,0.2727,0.2567,0.2616,0.2096
77,1,CA1-SUB,naive,34692,-0.2021,3,0.0584,0.0045,5,0.1609,0.2222,0.2076,0.2845,0.2082,0.2848
77,1,CA1-SUB,intermediate,26400,0.023,0,0.0,0.1267,7,0.084,0.0976,0.2557,0.2293,nan,nan
77,1,CA1-SUB,expert,25884,-0.0515,1,0.021,0.0105,6,0.0785,0.2042,0.397,0.3107,0.397,0.3107
77,1,RSC-SUB,naive,34692,0.0485,1,0.0019,-0.0197,-3,0.5604,0.2213,0.5341,0.4545,0.5853,0.6064
77,1,RSC-SUB,intermediate,26400,0.1053,1,0.0056,0.0431,0,0.4349,0.0966,0.4756,0.3913,0.5969,0.6416
77,1,RSC-SUB,expert,25884,0.0983,2,0.0073,-0.0128,0,0.4139,0.2058,0.4325,0.2289,0.4683,0.3094
77,1,V1-RSC,naive,34692,0.2351,2,0.044,0.0165,0,0.1261,0.5825,0.4338,0.4983,0.516,0.4981
77,1,V1-RSC,intermediate,26400,0.2737,2,0.0612,0.0215,8,0.0674,0.4456,0.3495,0.4156,0.4394,0.4348
77,1,V1-RSC,expert,25884,0.0538,1,0.023,0.0229,0,0.0558,0.4104,0.084,0.4414,0.3698,0.5389
