animal,learner,pair,bin,dim,cc,sig,ifi
34,1,CA1-V1,2,11,0.0169,0,0.0202
34,1,CA1-V1,2,12,-0.002,0,0.0316
34,1,CA1-V1,2,13,0.0239,0,0.0482
34,1,CA1-V1,2,14,0.0391,0,0.0343
34,1,CA1-V1,2,15,0.0006,0,0.0166
34,1,CA1-V1,2,16,0.0166,0,0.0098
34,1,CA1-V1,2,17,0.0063,0,0.0179
34,1,CA1-V1,2,18,-0.0139,0,-0.0
34,1,CA1-V1,2,19,0.0084,0,0.018
34,1,CA1-V1,2,20,0.0027,0,0.1012
34,1,CA1-V1,3,1,0.0841,0,0.0047
34,1,CA1-V1,3,2,0.1074,0,-0.0239
34,1,CA1-V1,3,3,0.0428,0,-0.0021
34,1,CA1-V1,3,4,0.0227,0,0.0025
34,1,CA1-V1,3,5,0.0138,0,-0.0032
34,1,CA1-V1,3,6,-0.0024,0,-0.0303
34,1,CA1-V1,3,7,0.0209,0,-0.0071
34,1,CA1-V1,3,8,0.0133,0,-0.0311
34,1,CA1-V1,3,9,0.013,0,-0.049
34,1,CA1-V1,3,10,-0.0072,0,-0.0643
34,1,CA1-V1,3,11,-0.0085,0,-0.0382
34,1,CA1-V1,3,12,0.0197,0,-0.0433
34,1,CA1-V1,3,13,0.0173,0,-0.0412
34,1,CA1-V1,3,14,-0.0028,0,-0.0469
34,1,CA1-V1,3,15,-0.0014,0,-0.0249
34,1,CA1-V1,3,16,-0.0062,0,-0.0436
34,1,CA1-V1,3,17,0.0006,0,-0.0431
34,1,CA1-V1,3,18,-0.0021,0,-0.0677
34,1,CA1-V1,3,19,0.0037,0,-0.0885
34,1,CA1-V1,3,20,0.0097,0,-0.106
34,1,CA1-V1,3,21,-0.0006,0,-0.1757
34,1,CA1-V1,4,1,0.1104,0,-0.0351
34,1,CA1-V1,4,2,0.0707,0,0.0185
34,1,CA1-V1,4,3,0.0088,0,-0.0146
34,1,CA1-V1,4,4,0.0434,0,-0.0066
34,1,CA1-V1,4,5,0.0532,0,-0.0247
34,1,CA1-V1,4,6,0.0167,0,-0.0257
34,1,CA1-V1,4,7,0.0088,0,-0.0294
34,1,CA1-V1,4,8,0.0207,0,-0.0313
34,1,CA1-V1,4,9,-0.0166,0,-0.0449
34,1,CA1-V1,4,10,0.0215,0,-0.0554
34,1,CA1-V1,4,11,-0.0032,0,-0.0349
34,1,CA1-V1,4,12,-0.0179,0,-0.0331
34,1,CA1-V1,4,13,-0.0062,0,-0.0184
34,1,CA1-V1,4,14,0.0234,0,-0.0163
34,1,CA1-V1,4,15,0.0062,0,0.0064
34,1,CA1-V1,4,16,0.0163,0,-0.0281
34,1,CA1-V1,4,17,0.003,0,-0.0432
34,1,CA1-V1,4,18,-0.0133,0,-0.0737
34,1,CA1-V1,4,19,0.005,0,-0.0686
34,1,CA1-V1,4,20,-0.0057,0,-0.1151
34,1,CA1-V1,5,1,0.0103,0,0.0339
34,1,CA1-V1,5,2,0.0223,0,0.0252
34,1,CA1-V1,5,3,0.0302,0,0.0215
34,1,CA1-V1,5,4,0.0436,0,0.0149
34,1,CA1-V1,5,5,0.0593,0,-0.0106
34,1,CA1-V1,5,6,0.0991,0,0.0055
34,1,CA1-V1,5,7,-0.032,0,0.0132
34,1,CA1-V1,5,8,0.026,0,0.0071
34,1,CA1-V1,5,9,0.0057,0,0.0147
34,1,CA1-V1,5,10,-0.0287,0,0.0083
34,1,CA1-V1,5,11,0.0212,0,0.0261
34,1,CA1-V1,5,12,0.0204,0,0.0074
34,1,CA1-V1,5,13,-0.0161,0,0.0186
34,1,CA1-V1,5,14,-0.0279,0,0.0307
34,1,CA1-V1,5,15,0.0226,0,0.0265
34,1,CA1-V1,5,16,0.0908,0,0.0314
34,1,CA1-V1,5,17,-0.0223,0,0.0259
34,1,CA1-V1,5,18,0.0219,0,0.0613
34,1,CA1-V1,5,19,-0.0162,0,0.02
34,1,CA1-V1,5,20,-0.0869,0,0.0444
34,1,CA1-V1,6,1,0.0834,0,-0.1202
34,1,CA1-V1,6,2,0.0845,0,-0.0296
34,1,CA1-V1,6,3,0.04,0,-0.0306
34,1,CA1-V1,6,4,0.124,0,0.0092
34,1,CA1-V1,6,5,0.04,0,0.0138
34,1,CA1-V1,6,6,0.0876,0,0.0051
34,1,CA1-V1,6,7,0.0208,0,0.0044
34,1,CA1-V1,6,8,0.0072,0,0.0163
34,1,CA1-V1,6,9,0.0136,0,0.0004
34,1,CA1-V1,6,10,0.0042,0,0.0095
34,1,CA1-V1,6,11,0.0083,0,0.0233
34,1,CA1-V1,6,12,-0.0225,0,0.0291
34,1,CA1-V1,6,13,0.0492,0,0.0279
34,1,CA1-V1,6,14,-0.001,0,0.0113
34,1,CA1-V1,6,15,0.0432,0,0.0315
34,1,CA1-V1,6,16,0.0171,0,0.034
34,1,CA1-V1,6,17,-0.0085,0,0.0028
34,1,CA1-V1,6,18,-0.0074,0,0.0397
34,1,CA1-V1,6,19,-0.0514,0,0.0544
34,1,CA1-V1,6,20,-0.0046,0,0.0084
34,1,CA1-V1,6,21,-0.003,0,0.0591
36,1,CA1-V1,1,1,0.0378,0,-0.0001
36,1,CA1-V1,1,2,0.0267,0,0.006
36,1,CA1-V1,1,3,0.0147,0,0.019
36,1,CA1-V1,1,4,0.044,0,0.0009
36,1,CA1-V1,1,5,0.0229,0,0.0027
36,1,CA1-V1,1,6,0.0174,0,0.0108
36,1,CA1-V1,1,7,0.0006,0,0.0081
36,1,CA1-V1,1,8,-0.0063,0,0.0041
36,1,CA1-V1,1,9,0.0101,0,0.0068
36,1,CA1-V1,1,10,-0.0079,0,0.0056
36,1,CA1-V1,1,11,0.0246,0,-0.0081
36,1,CA1-V1,1,12,-0.0145,0,0.0129
36,1,CA1-V1,1,13,-0.0157,0,-0.0012
36,1,CA1-V1,1,14,-0.0176,0,-0.0008
36,1,CA1-V1,1,15,0.0035,0,-0.0092
36,1,CA1-V1,1,16,0.0155,0,0.0038
36,1,CA1-V1,1,17,0.0034,0,-0.0068
36,1,CA1-V1,1,18,0.0265,0,-0.0051
36,1,CA1-V1,1,19,-0.0041,0,-0.003
36,1,CA1-V1,1,20,-0.0186,0,0.0008
36,1,CA1-V1,1,21,0.0045,0,-0.0113
36,1,CA1-V1,1,22,0.018,0,0.0156
36,1,CA1-V1,1,23,-0.0054,0,-0.0168
36,1,CA1-V1,1,24,0.0171,0,-0.0386
36,1,CA1-V1,1,25,0.0035,0,-0.0558
36,1,CA1-V1,1,26,0.0365,0,-0.0079
36,1,CA1-V1,2,1,0.1094,0,-0.0043
36,1,CA1-V1,2,2,0.0826,0,0.0164
36,1,CA1-V1,2,3,-0.0003,0,-0.0008
36,1,CA1-V1,2,4,0.0256,0,0.0025
36,1,CA1-V1,2,5,0.0006,0,0.0375
36,1,CA1-V1,2,6,0.0152,0,0.0207
36,1,CA1-V1,2,7,0.0007,0,0.0277
36,1,CA1-V1,2,8,0.0135,0,0.0299
36,1,CA1-V1,2,9,-0.0058,0,0.0321
36,1,CA1-V1,2,10,-0.0008,0,0.0184
