animal,pair,dim,epoch,window_bins,window_ms,ifi,degenerate,label,sig
75,CA1-DG,6,intermediate,23,230,-0.15434600784919258,0,FF,1
75,CA1-DG,6,intermediate,24,240,-0.21076017773507863,0,FF,1
75,CA1-DG,6,intermediate,25,250,-0.2367901521309953,0,FF,1
75,CA1-DG,6,naive,1,10,0.02746804460157739,0,FF,1
75,CA1-DG,6,naive,2,20,0.056538461538461565,0,FF,1
75,CA1-DG,6,naive,3,30,0.2844224037339556,0,FF,1
75,CA1-DG,6,naive,4,40,0.3527704485488127,0,FF,1
75,CA1-DG,6,naive,5,50,0.39267145333003217,0,FF,1
75,CA1-DG,6,naive,6,60,0.4185136897001303,0,FF,1
75,CA1-DG,6,naive,7,70,0.41851368970013036,0,FF,1
75,CA1-DG,6,naive,8,80,0.3001629549158066,0,FF,1
75,CA1-DG,6,naive,9,90,0.1893073636092616,0,FF,1
75,CA1-DG,6,naive,10,100,0.06943079260119739,0,FF,1
75,CA1-DG,6,naive,11,110,0.09231280092976922,0,FF,1
75,CA1-DG,6,naive,12,120,0.1538515951050434,0,FF,1
75,CA1-DG,6,naive,13,130,0.25237500000000007,0,FF,1
75,CA1-DG,6,naive,14,140,0.34348508634222913,0,FF,1
75,CA1-DG,6,naive,15,150,0.348853900327457,0,FF,1
75,CA1-DG,6,naive,16,160,0.3994704616912131,0,FF,1
75,CA1-DG,6,naive,17,170,0.41387385932326576,0,FF,1
75,CA1-DG,6,naive,18,180,0.41493692313893027,0,FF,1
75,CA1-DG,6,naive,19,190,0.3743882864189798,0,FF,1
75,CA1-DG,6,naive,20,200,0.3133557800224467,0,FF,1
75,CA1-DG,6,naive,21,210,0.3133557800224467,0,FF,1
75,CA1-DG,6,naive,22,220,0.31624632120105794,0,FF,1
75,CA1-DG,6,naive,23,230,0.2881148132121738,0,FF,1
75,CA1-DG,6,naive,24,240,0.2457154656204832,0,FF,1
75,CA1-DG,6,naive,25,250,0.2071998747847864,0,FF,1
75,CA1-DG,7,expert,1,10,0.08979591836734695,0,FF,1
75,CA1-DG,7,expert,2,20,0.1423076923076923,0,FF,1
75,CA1-DG,7,expert,3,30,0.2662126147468167,0,FF,1
75,CA1-DG,7,expert,4,40,0.23422860712054963,0,FF,1
75,CA1-DG,7,expert,5,50,0.3084046828586405,0,FF,1
