animal,pair,epoch,peak_r,peak_lag_ms,ifi,width_ms,side_peak_ms,side_peak_ratio,n_bins,r_fit
68,CA3-DG,expert,0.37936,0.0,-0.038547780262199294,30.0,130.0,0.6201760860396458,6000,0.3618
68,CA3-DG,intermediate,0.37599,0.0,-0.011274963092746674,20.0,130.0,0.5611585414505705,6000,0.3618
68,CA3-DG,naive,0.33203,0.0,-0.02936835608508813,20.0,140.0,0.5531427883022618,6000,0.3618
73,CA1-DG,expert,0.20814,0.0,-0.030446842282471052,0.0,120.0,0.3120495820121072,6000,0.1991
73,CA1-DG,intermediate,0.18788,0.0,-0.17404813218390813,20.0,140.0,0.4632212050244837,6000,0.1991
73,CA1-DG,naive,0.19303,0.0,0.22700900792133658,10.0,140.0,0.4792001243330052,6000,0.1991
73,CA1-RSC,expert,0.10469,0.0,0.09975469779043915,70.0,60.0,0.716496322475881,6000,0.1176
73,CA1-RSC,intermediate,0.12178,0.0,0.11410504018441216,170.0,50.0,0.6303990803087536,6000,0.1176
73,CA1-RSC,naive,0.09608,0.0,-0.12475578624534481,30.0,190.0,0.6732930890924229,6000,0.1176
73,CA1-SUB,expert,0.18691,0.0,-0.08361250295506566,20.0,130.0,0.5951527473115403,6000,0.1924
73,CA1-SUB,intermediate,0.19184,0.0,0.17562625804887813,20.0,130.0,0.47654295246038364,6000,0.1924
73,CA1-SUB,naive,0.19157,0.0,-0.08166575002467875,0.0,20.0,0.32437229211254376,6000,0.1924
73,CA1-V1,expert,0.1365,0.0,-0.0699388332864301,100.0,80.0,0.9032234432234432,6000,0.1221
73,CA1-V1,intermediate,0.11143,0.0,-0.054197969651179956,20.0,140.0,0.7002602530736786,6000,0.1221
73,CA1-V1,naive,0.07836,0.0,-0.2006223337515684,20.0,220.0,0.631955079122001,6000,0.1221
73,RSC-SUB,expert,0.18836,0.0,0.011659815043065534,500.0,,,6000,0.1726
73,RSC-SUB,intermediate,0.18579,0.0,-0.0016006264322152139,70.0,110.0,0.7172614241886,6000,0.1726
73,RSC-SUB,naive,0.12789,0.0,0.0005826207652896182,0.0,20.0,0.568848228946751,6000,0.1726
73,V1-RSC,expert,0.23793,0.0,-0.04686049787240351,0.0,140.0,0.4131467238263355,6000,0.2394
73,V1-RSC,intermediate,0.23363,0.0,-0.09813458615448391,0.0,150.0,0.6156743568890981,6000,0.2394
73,V1-RSC,naive,0.2083,0.0,-0.11879878577623583,0.0,140.0,0.3069131060969755,6000,0.2394
75,CA1-DG,expert,0.24488,0.0,0.018227322671224594,10.0,120.0,0.5293204835021236,6000,0.2727
75,CA1-DG,intermediate,0.31585,0.0,0.05193475860774247,20.0,130.0,0.46933671046382774,6000,0.2727
