animal,learner,pair,ordinal,trial_id,n_bins,cc1,ifi,optimal_lag,gini_part_x,gini_part_y
73,1,V1-RSC,1,1,5662,0.0907,-0.0511,0,0.5235,0.4918
73,1,V1-RSC,2,2,4390,0.1159,0.061,0,0.4854,0.48
73,1,V1-RSC,4,4,4438,0.1001,-0.0813,0,0.5387,0.4896
73,1,V1-RSC,7,7,4151,0.0801,0.0916,8,0.5696,0.5313
73,1,V1-RSC,10,10,4119,0.0901,0.1006,0,0.5441,0.4912
75,1,CA1-RSC,1,1,2905,0.1431,0.1452,0,0.6024,0.5087
75,1,CA1-RSC,2,2,2455,0.1217,0.0826,0,0.6398,0.508
75,1,CA1-RSC,4,4,2568,0.1225,0.0289,1,0.6503,0.5332
75,1,CA1-RSC,7,7,2216,0.1286,0.1252,3,0.6274,0.5203
75,1,CA1-RSC,10,10,3129,0.1523,0.0704,0,0.5922,0.4984
75,1,CA1-DG,1,1,2905,0.2656,0.3619,0,0.6515,0.6861
75,1,CA1-DG,2,2,2455,0.2758,0.1338,0,0.6264,0.6558
75,1,CA1-DG,4,4,2568,0.2732,-0.1088,0,0.6504,0.6723
75,1,CA1-DG,7,7,2216,0.278,-0.0279,0,0.6299,0.6823
75,1,CA1-DG,10,10,3129,0.2634,0.0204,0,0.6166,0.6542
75,1,CA1-V1,1,1,2905,0.0634,-0.0001,8,0.5823,0.4377
75,1,CA1-V1,2,2,2455,0.0306,0.1949,6,0.5902,0.472
75,1,CA1-V1,4,4,2568,0.0564,-0.0298,-3,0.5617,0.4554
75,1,CA1-V1,7,7,2216,0.0362,0.5091,0,0.5634,0.4563
75,1,CA1-V1,10,10,3129,-0.0143,0.0,-9,0.5139,0.4967
75,1,CA1-SUB,1,1,2905,0.11,-0.4581,-4,0.6849,0.4296
75,1,CA1-SUB,2,2,2455,0.1543,-0.59,0,0.6572,0.3712
75,1,CA1-SUB,4,4,2568,0.1133,-0.6061,0,0.6762,0.3824
75,1,CA1-SUB,7,7,2216,0.1223,0.0328,0,0.6595,0.4188
75,1,CA1-SUB,10,10,3129,0.105,-0.2912,0,0.6547,0.425
75,1,RSC-SUB,1,1,2905,0.1751,-0.5023,0,0.4899,0.4406
75,1,RSC-SUB,2,2,2455,0.2257,-0.1596,0,0.5134,0.4499
75,1,RSC-SUB,4,4,2568,0.2404,-0.0627,0,0.5302,0.4241
75,1,RSC-SUB,7,7,2216,0.2038,-0.0189,0,0.5068,0.4352
75,1,RSC-SUB,10,10,3129,0.2327,-0.2194,0,0.5042,0.4632
75,1,V1-RSC,1,1,2905,0.2652,-0.0127,0,0.4519,0.4905
75,1,V1-RSC,2,2,2455,0.3939,0.0481,0,0.4682,0.5511
75,1,V1-RSC,4,4,2568,0.4477,0.0361,0,0.4727,0.543
75,1,V1-RSC,7,7,2216,0.4562,0.0139,0,0.4921,0.5394
75,1,V1-RSC,10,10,3129,0.411,0.0226,0,0.4578,0.5517
77,1,CA1-RSC,1,1,3519,0.081,-0.0574,0,0.3539,0.4854
77,1,CA1-RSC,2,2,2820,0.051,-0.0777,-1,0.3507,0.4733
77,1,CA1-RSC,4,4,3391,0.0278,0.6325,8,0.3273,0.4889
77,1,CA1-RSC,7,7,3452,0.0392,0.2807,9,0.3507,0.4682
77,1,CA1-RSC,10,10,3681,0.0617,-0.0086,0,0.4115,0.4437
77,1,CA1-DG,1,1,3519,0.0619,0.4977,0,0.514,0.7203
77,1,CA1-DG,2,2,2820,0.0129,0.2243,2,0.5663,0.8038
