animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,rot_x_cc1,rot_y_cc1,jac_x,jac_y,sh_x,sh_y,sh_x_cc1,sh_y_cc1
34,1,CA1-CA3,8.0,0.0933,0.1333,-40.0,6000,0.3737,1,0.0752,0.0176,0,0.2715,0.5664,0.5256,0.4554,nan,nan,nan,nan,,,57.21,35.53,22.61,52.74
34,1,CA1-CA3,13.0,0.16,0.2667,-35.0,6000,0.4356,2,0.1367,0.0171,0,0.2668,0.7859,0.4734,0.4421,38.25,10.91,7.99,39.51,0.5,1.0,78.34,48.74,31.53,3.74
34,1,CA1-CA3,18.0,0.2267,0.3171,-30.0,6000,0.4033,1,0.0888,-0.0045,0,0.3605,0.775,0.4829,0.4791,40.73,21.96,7.62,2.43,0.3333,1.0,86.47,66.29,88.53,12.62
34,1,CA1-CA3,23.0,0.2933,0.3068,-25.0,6000,0.6682,2,0.351,-0.0166,0,0.9373,0.8241,0.5392,0.5039,89.52,85.56,87.97,89.33,0.5,1.0,87.56,69.7,0.0,0.0
34,1,CA1-CA3,28.0,0.36,0.2905,-20.0,6000,0.5052,3,0.1838,-0.0205,0,0.9317,0.3412,0.4699,0.4804,22.71,81.44,2.61,88.61,0.7143,1.0,58.56,39.27,0.93,15.4
34,1,CA1-CA3,33.0,0.4267,0.386,-15.0,6000,0.4031,2,0.1021,-0.008,0,0.9041,0.1546,0.4589,0.5061,49.07,53.67,2.31,2.91,0.7143,0.3333,62.34,13.59,4.72,6.31
34,1,CA1-CA3,38.0,0.4933,0.5303,-10.0,6000,0.4539,2,0.132,0.0281,0,0.8843,0.0919,0.4557,0.4738,46.92,29.22,50.15,4.25,0.5,0.0,55.24,40.09,66.75,9.69
34,1,CA1-CA3,43.0,0.56,0.5344,-5.0,6000,0.4096,2,0.108,0.0036,0,0.93,0.0507,0.4789,0.4894,50.27,18.72,43.74,5.82,0.5,0.3333,85.17,38.18,2.53,14.33
34,1,CA1-CA3,48.0,0.6267,0.5781,0.0,6000,0.5065,2,0.1792,-0.0104,0,0.954,0.113,0.4374,0.4633,89.39,37.71,47.08,5.03,0.2,0.0,87.33,37.57,0.0,11.19
34,1,CA1-CA3,53.0,0.6933,0.6539,5.0,6000,0.5147,3,0.1977,-0.0083,0,0.8935,0.1294,0.4714,0.4634,90.0,14.46,90.0,7.7,0.5,1.0,59.39,32.41,0.9,11.08
34,1,CA1-CA3,58.0,0.76,0.8361,10.0,6000,0.5037,3,0.1913,-0.0121,0,0.8867,0.1183,0.4387,0.4468,31.45,15.16,1.41,6.51,1.0,0.3333,54.3,17.73,0.7,12.45
34,1,CA1-CA3,63.0,0.8267,0.908,15.0,6000,0.4845,3,0.181,-0.0078,0,0.8892,0.1181,0.445,0.4409,63.18,29.81,0.58,3.08,0.5,1.0,83.48,33.56,0.92,5.4
34,1,CA1-CA3,68.0,0.8933,0.9141,20.0,6000,0.4161,4,0.2158,-0.0086,0,0.9359,0.1296,0.4391,0.439,64.27,9.93,42.98,10.2,0.7143,0.3333,35.39,28.76,21.22,9.92
34,1,CA1-V1,8.0,0.0933,0.1333,-40.0,6000,0.2398,0,0.0,0.0254,2,0.2583,0.3388,0.2126,0.2039,nan,nan,nan,nan,,,89.54,64.46,37.38,56.96
34,1,CA1-V1,13.0,0.16,0.2667,-35.0,6000,0.2573,0,0.0,0.0198,2,0.2542,0.2621,0.2305,0.2011,56.94,71.76,27.27,36.35,0.7143,0.4054,76.42,85.8,66.34,67.49
34,1,CA1-V1,18.0,0.2267,0.3171,-30.0,6000,0.2768,1,0.0398,-0.0135,-7,0.4012,0.2321,0.2221,0.2094,62.95,51.65,20.27,30.84,0.7143,0.4444,82.52,76.6,77.44,74.42
34,1,CA1-V1,23.0,0.2933,0.3068,-25.0,6000,0.2069,0,0.0,-0.0274,-7,0.4528,0.2184,0.231,0.1953,37.98,45.13,45.92,44.62,0.7143,0.4444,85.52,86.44,67.11,65.06
34,1,CA1-V1,28.0,0.36,0.2905,-20.0,6000,0.1593,0,0.0,-0.053,-7,0.9262,0.2226,0.182,0.1847,89.14,62.17,88.96,44.41,0.3333,0.3684,63.44,80.96,8.33,81.77
