animal,learner,pair,epoch,bin_ms,lag_bins,lag_ms,n_samples,cc1,cc_mean3,n_sig,angle_x,angle_y,angle_x_cc1,angle_y_cc1,floor_x,floor_y,floor_cc1,gini_x_conn,gini_y_conn,angle_ff_fb_x,angle_ff_fb_y,angle_ff_fb_cc1
28,1,CA1-V1,intermediate,10,2,20,5980,0.0504,0.0259,0,78.65,89.69,85.81,89.37,69.07,89.4,76.04,0.3411,0.4995,86.02,85.76,88.87
28,1,CA1-V1,intermediate,10,-2,-20,5980,0.0513,0.0316,0,87.44,81.36,85.18,71.23,69.07,89.4,76.04,0.3913,0.5123,86.02,85.76,88.87
28,1,CA1-V1,intermediate,10,3,30,5970,-0.0186,-0.0048,0,82.47,70.46,89.51,48.89,69.07,89.4,76.04,0.3367,0.5185,86.02,85.76,88.87
28,1,CA1-V1,intermediate,10,-3,-30,5970,0.0646,0.0248,0,75.35,87.67,84.37,75.94,69.07,89.4,76.04,0.3739,0.4901,86.02,85.76,88.87
28,1,CA1-V1,intermediate,10,4,40,5960,0.0157,-0.0065,0,74.32,76.9,62.68,57.32,69.07,89.4,76.04,0.2993,0.5023,86.02,85.76,88.87
28,1,CA1-V1,intermediate,10,-4,-40,5960,0.0038,-0.0038,0,89.5,89.22,80.57,66.27,69.07,89.4,76.04,0.3416,0.5283,86.02,85.76,88.87
28,1,CA1-V1,intermediate,10,5,50,5950,0.0032,0.0065,0,89.42,88.78,71.0,74.39,69.07,89.4,76.04,0.3735,0.4985,86.02,85.76,88.87
28,1,CA1-V1,intermediate,10,-5,-50,5950,0.0153,0.0104,0,82.36,89.43,77.29,88.25,69.07,89.4,76.04,0.3342,0.5168,86.02,85.76,88.87
28,1,CA1-V1,intermediate,10,7,70,5930,0.0027,0.0173,0,73.5,84.39,67.24,87.37,69.07,89.4,76.04,0.3684,0.5186,86.02,85.76,88.87
28,1,CA1-V1,intermediate,10,-7,-70,5930,0.0232,0.0022,0,73.94,81.02,79.86,87.92,69.07,89.4,76.04,0.311,0.5041,86.02,85.76,88.87
28,1,CA1-V1,intermediate,10,10,100,5900,0.0852,0.0319,0,89.72,86.92,74.34,88.7,69.07,89.4,76.04,0.4064,0.5628,86.02,85.76,88.87
