animal,pair,epoch,area,n_units,rho_contrib_conn,rho_contrib_conn_ratepart,rho_contrib,rho_contrib_ratepart,rho_rate_rel,rho_contrib_conn_tune,rho_contrib_conn_tune_ratepart,rho_contrib_tune,rho_contrib_tune_ratepart,rho_rate_tune,rho_contrib_conn_tomrel,rho_contrib_conn_tomrel_ratepart,rho_rate_tomrel,rho_rel_tomrel
63,CA1-RSC,intermediate,CA1,10,0.1758,-0.0149,-0.1394,-0.0042,0.2364,0.1636,0.0885,-0.1273,-0.0581,0.1394,0.4303,0.198,0.4061,0.8909
63,CA1-RSC,intermediate,RSC,51,0.115,-0.1141,0.2189,0.0368,0.4179,0.429,0.0653,0.3856,0.0409,0.8043,0.2388,-0.0654,0.5805,0.9118
63,CA1-RSC,naive,CA1,10,0.1273,-0.0621,-0.4424,-0.3568,0.2848,0.4545,0.2415,-0.6242,-0.4973,0.4667,0.3455,0.1806,0.3455,0.7939
63,CA1-RSC,naive,RSC,51,0.3618,0.1802,0.3056,0.1495,0.7198,0.3033,0.1093,0.2228,0.0439,0.6686,0.2487,0.0616,0.5959,0.926
66,CA1-DG,expert,CA1,28,0.3618,-0.3472,0.289,0.0069,0.6678,0.5324,-0.126,0.3663,0.1497,0.7717,0.3935,-0.2451,0.6508,0.9234
66,CA1-DG,expert,DG,33,0.4759,-0.0209,-0.1437,-0.1212,0.6688,0.6133,0.1526,-0.1795,-0.1801,0.7473,0.6374,0.1897,0.7597,0.8386
66,CA1-DG,intermediate,CA1,27,0.188,-0.3846,0.1624,0.0576,0.6068,0.2752,-0.4377,0.0838,0.0151,0.7662,0.1916,-0.372,0.5698,0.9469
66,CA1-DG,intermediate,DG,33,0.5976,0.2249,-0.2236,-0.0501,0.64,0.612,0.2288,-0.1638,0.04,0.6598,0.6892,0.3373,0.7032,0.8509
66,CA1-DG,naive,CA1,26,0.187,0.029,0.4003,0.3723,0.2226,0.475,-0.1706,0.3394,0.2027,0.7033,0.3657,0.1794,0.3327,0.7381
66,CA1-DG,naive,DG,33,0.7416,0.571,0.2784,0.1961,0.5765,0.6156,0.3507,0.1761,0.0723,0.5555,0.5993,0.2653,0.5979,0.7871
66,CA1-RSC,expert,CA1,28,0.6393,0.3107,0.3153,-0.0086,0.6678,0.649,0.263,0.3999,0.1305,0.7717,0.6147,0.2811,0.6508,0.9234
66,CA1-RSC,expert,RSC,16,0.4824,0.4966,0.3147,0.1905,0.4294,0.3412,0.3947,0.2559,0.0117,0.6912,0.4059,0.4096,0.4118,0.9265
66,CA1-RSC,intermediate,CA1,27,0.1172,-0.0529,0.2705,0.1949,0.6068,0.0277,-0.1635,0.161,0.1334,0.7662,0.1675,-0.0314,0.5698,0.9469
66,CA1-RSC,intermediate,RSC,16,0.0471,0.0261,0.1353,0.0696,0.2235,0.2147,0.2131,0.1441,-0.1413,0.7382,0.0176,-0.0293,0.45,0.8382
66,CA1-RSC,naive,CA1,26,0.332,0.271,0.3901,0.3491,0.2226,0.3828,0.0825,0.279,0.0349,0.7033,0.5397,0.4604,0.3327,0.7381
66,CA1-RSC,naive,RSC,16,0.4324,0.4153,0.2676,0.2943,0.2971,0.1088,-0.0238,0.1588,0.4559,0.9,0.3706,0.3531,0.4794,0.8147
66,CA1-SUB,expert,CA1,28,0.6481,0.2022,0.3333,-0.0312,0.6678,0.7118,0.1916,0.4768,0.1978,0.7717,0.6267,0.1809,0.6508,0.9234
66,CA1-SUB,expert,SUB,13,0.7912,0.7869,0.3187,0.2911,0.1374,0.6868,0.6795,0.1593,0.1118,0.1538,0.7253,0.7193,0.1429,0.9396
66,CA1-SUB,intermediate,CA1,27,0.7283,0.6015,0.3773,0.2167,0.6068,0.4968,0.2309,0.1856,-0.046,0.7662,0.6924,0.5397,0.5698,0.9469
66,CA1-SUB,intermediate,SUB,13,0.7363,0.7338,0.3681,0.3599,0.0879,0.4286,0.4144,0.1154,0.0409,0.2527,0.5,0.4888,0.2363,0.8846
