animal,pair,epoch,area,unit,contrib,contrib_conn
28,CA1-V1,intermediate,CA1,3,0.222971,0.01028
28,CA1-V1,intermediate,CA1,4,0.017808,0.000508
28,CA1-V1,intermediate,CA1,5,0.910186,0.01705
28,CA1-V1,intermediate,CA1,6,0.046235,0.001184
28,CA1-V1,intermediate,CA1,7,0.899242,0.028486
28,CA1-V1,intermediate,CA1,8,0.980236,0.024361
28,CA1-V1,intermediate,CA1,9,0.558712,0.012492
28,CA1-V1,intermediate,CA1,10,0.955305,0.040957
28,CA1-V1,intermediate,CA1,11,0.970824,0.027448
28,CA1-V1,intermediate,CA1,12,1.009462,0.06161
28,CA1-V1,intermediate,CA1,13,0.636569,0.035742
28,CA1-V1,intermediate,CA1,14,0.114919,0.003475
28,CA1-V1,intermediate,CA1,15,0.662338,0.040706
28,CA1-V1,intermediate,CA1,16,1.063168,0.033676
28,CA1-V1,intermediate,CA1,17,0.033371,0.001261
28,CA1-V1,intermediate,CA1,18,0.872239,0.025414
28,CA1-V1,intermediate,CA1,19,0.973095,0.015694
28,CA1-V1,intermediate,CA1,20,1.057707,0.031475
28,CA1-V1,intermediate,CA1,21,0.852075,0.035107
28,CA1-V1,intermediate,CA1,22,0.060269,0.002386
28,CA1-V1,intermediate,CA1,23,0.683944,0.014704
28,CA1-V1,intermediate,CA1,24,0.867093,0.017187
28,CA1-V1,intermediate,CA1,25,0.028816,0.000735
28,CA1-V1,intermediate,CA1,26,0.924569,0.0255
28,CA1-V1,intermediate,CA1,27,0.439596,0.014982
28,CA1-V1,intermediate,CA1,28,0.933565,0.041938
28,CA1-V1,intermediate,CA1,29,0.757278,0.031748
28,CA1-V1,intermediate,V1,0,0.530844,0.019985
28,CA1-V1,intermediate,V1,1,0.103756,0.003954
28,CA1-V1,intermediate,V1,2,0.582738,0.028306
28,CA1-V1,intermediate,V1,3,0.853012,0.016645
28,CA1-V1,intermediate,V1,4,0.722579,0.014932
28,CA1-V1,intermediate,V1,5,0.845915,0.034355
28,CA1-V1,intermediate,V1,6,0.361619,0.010992
28,CA1-V1,intermediate,V1,7,0.246813,0.014958
28,CA1-V1,intermediate,V1,8,0.753805,0.022116
28,CA1-V1,intermediate,V1,9,0.139786,0.004896
28,CA1-V1,intermediate,V1,10,0.165059,0.005227
28,CA1-V1,intermediate,V1,11,0.76267,0.025048
28,CA1-V1,intermediate,V1,12,0.379461,0.024147
28,CA1-V1,intermediate,V1,13,0.305134,0.010996
28,CA1-V1,intermediate,V1,14,0.462883,0.010446
28,CA1-V1,intermediate,V1,15,0.450701,0.014989
28,CA1-V1,intermediate,V1,16,0.414172,0.018345
28,CA1-V1,intermediate,V1,17,0.783092,0.017138
28,CA1-V1,intermediate,V1,18,0.315414,0.011279
28,CA1-V1,intermediate,V1,19,0.478531,0.015183
28,CA1-V1,intermediate,V1,20,0.444531,0.016814
28,CA1-V1,intermediate,V1,21,0.399407,0.010529
28,CA1-V1,intermediate,V1,22,0.60266,0.012546
28,CA1-V1,intermediate,V1,23,0.534364,0.020381
28,CA1-V1,intermediate,V1,24,0.017847,0.000493
28,CA1-V1,intermediate,V1,25,0.058967,0.002065
28,CA1-V1,intermediate,V1,26,0.158978,0.004453
28,CA1-V1,intermediate,V1,27,0.148992,0.003576
28,CA1-V1,intermediate,V1,28,0.295646,0.008719
28,CA1-V1,intermediate,V1,29,0.029797,0.001492
28,CA1-V1,intermediate,V1,30,0.685457,0.023985
28,CA1-V1,intermediate,V1,31,0.220955,0.009111
28,CA1-V1,intermediate,V1,32,0.553866,0.013654
28,CA1-V1,intermediate,V1,33,0.028278,0.000837
28,CA1-V1,intermediate,V1,34,0.178824,0.008269
28,CA1-V1,intermediate,V1,35,0.818403,0.026659
28,CA1-V1,intermediate,V1,36,0.339277,0.007293
28,CA1-V1,intermediate,V1,37,0.386036,0.008572
28,CA1-V1,intermediate,V1,38,0.276974,0.007766
28,CA1-V1,intermediate,V1,39,0.374073,0.015754
28,CA1-V1,intermediate,V1,40,0.81427,0.016056
28,CA1-V1,intermediate,V1,41,0.606899,0.021336
28,CA1-V1,intermediate,V1,42,0.233031,0.0089
28,CA1-V1,intermediate,V1,43,0.829621,0.017095
28,CA1-V1,intermediate,V1,44,0.411455,0.011719
28,CA1-V1,intermediate,V1,45,0.545993,0.038945
28,CA1-V1,intermediate,V1,46,0.022451,0.000812
28,CA1-V1,intermediate,V1,47,0.150302,0.009027
28,CA1-V1,intermediate,V1,48,0.054767,0.001241
28,CA1-V1,intermediate,V1,49,0.841265,0.021365
28,CA1-V1,intermediate,V1,50,0.250757,0.00637
28,CA1-V1,intermediate,V1,51,0.776588,0.010834
28,CA1-V1,intermediate,V1,52,0.015078,0.000382
28,CA1-V1,intermediate,V1,53,0.470113,0.018621
28,CA1-V1,intermediate,V1,54,0.304567,0.020406
28,CA1-V1,intermediate,V1,55,0.478592,0.016923
28,CA1-V1,intermediate,V1,56,0.686709,0.032864
28,CA1-V1,intermediate,V1,57,0.327708,0.007833
28,CA1-V1,intermediate,V1,58,0.43181,0.011621
28,CA1-V1,intermediate,V1,59,0.588974,0.015877
28,CA1-V1,intermediate,V1,60,0.234964,0.011906
28,CA1-V1,intermediate,V1,61,0.194279,0.007204
28,CA1-V1,intermediate,V1,62,0.122368,0.00873
28,CA1-V1,intermediate,V1,63,0.217793,0.010512
28,CA1-V1,intermediate,V1,64,0.41272,0.016044
28,CA1-V1,intermediate,V1,65,0.733928,0.019918
28,CA1-V1,intermediate,V1,66,0.19874,0.004593
28,CA1-V1,intermediate,V1,67,0.038699,0.001387
28,CA1-V1,intermediate,V1,68,0.026836,0.000916
28,CA1-V1,expert,CA1,0,1.015994,0.136271
28,CA1-V1,expert,CA1,1,0.84829,0.08444
28,CA1-V1,expert,CA1,2,1.002737,0.161976
28,CA1-V1,expert,CA1,3,0.839071,0.067833
28,CA1-V1,expert,CA1,4,0.093367,0.01171
28,CA1-V1,expert,CA1,5,0.929696,0.120174
28,CA1-V1,expert,CA1,6,0.05668,0.006953
28,CA1-V1,expert,CA1,7,0.84127,0.126821
28,CA1-V1,expert,CA1,8,0.140651,0.01907
28,CA1-V1,expert,CA1,9,1.040764,0.151135
28,CA1-V1,expert,CA1,10,0.819603,0.148981
28,CA1-V1,expert,CA1,11,0.976371,0.124829
28,CA1-V1,expert,CA1,12,1.053866,0.164605
28,CA1-V1,expert,CA1,13,0.657863,0.082178
28,CA1-V1,expert,CA1,14,1.041272,0.171215
28,CA1-V1,expert,CA1,15,0.751076,0.108748
28,CA1-V1,expert,CA1,16,1.081555,0.142725
28,CA1-V1,expert,CA1,17,0.016145,0.002175
28,CA1-V1,expert,CA1,18,0.832263,0.080664
28,CA1-V1,expert,CA1,19,0.967253,0.147152
28,CA1-V1,expert,CA1,20,1.074845,0.119409
