animal,learner,pair,center_trial,trial_frac,performance,lp_rel,dim,cc,ifi,lag,sig
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,6,0.2249,-0.0222,0,1
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,7,-0.1742,-0.0222,0,0
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,8,-0.1506,-0.0317,-1,0
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,9,-0.1825,-0.0456,-1,0
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,10,0.2008,-0.0657,-3,1
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,11,0.0245,-0.0092,-4,0
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,12,-0.1854,0.0268,-3,0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,0,-0.0478,-0.0672,0,0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,1,0.3129,-0.0151,0,1
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,2,0.0622,-0.01,0,0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,3,-0.1509,-0.0522,0,0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,4,0.2123,-0.0516,0,1
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,5,-0.1073,-0.0573,-1,0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,6,0.1083,-0.0379,-1,0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,7,-0.0143,-0.0502,0,0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,8,0.1695,-0.0175,2,1
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,9,0.0632,0.0008,0,0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,10,0.1899,-0.0204,-5,1
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,11,0.056,0.019,4,0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,12,0.0458,-0.0146,-4,0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,13,-0.0452,0.0724,3,0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,14,0.1701,0.132,2,1
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,0,0.1577,0.0688,0,1
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,1,0.1555,0.0795,0,1
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,2,0.0968,0.0318,0,0
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,3,0.1242,-0.0357,0,0
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,4,-0.0023,-0.0553,-1,0
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,5,0.0255,-0.0364,-1,0
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,6,0.0114,-0.0306,-1,0
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,7,-0.0002,-0.0545,-1,0
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,8,0.0143,-0.0346,-1,0
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,9,0.0079,-0.0836,-1,0
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,10,0.0197,-0.0917,0,0
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,11,0.0054,-0.1354,-1,0
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,12,0.0377,-0.1303,0,0
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,13,-0.0117,-0.0758,0,0
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,0,0.0004,0.0052,0,0
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,1,0.1815,0.009,0,1
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,2,0.0098,0.061,0,0
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,3,0.0174,-0.0308,0,0
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,4,0.2394,-0.0198,-2,1
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,5,-0.181,-0.0245,-2,0
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,6,-0.0837,-0.0455,-1,0
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,7,-0.1624,-0.0604,-2,0
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,8,0.1765,-0.0364,-1,0
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,9,0.1524,-0.011,0,0
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,10,-0.1613,-0.0515,0,0
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,11,-0.1016,-0.0335,-1,0
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,12,-0.1347,0.0017,0,0
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,13,-0.1565,0.0259,-2,0
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,14,-0.0333,0.0849,0,0
28,1,CA1-CA3,98.0,0.7132,1.0,29.0,0,0.2648,-0.0224,0,1
28,1,CA1-CA3,98.0,0.7132,1.0,29.0,1,0.2034,0.0874,0,1
28,1,CA1-CA3,98.0,0.7132,1.0,29.0,2,0.0851,0.1028,1,0
28,1,CA1-CA3,98.0,0.7132,1.0,29.0,3,0.0955,0.0664,1,0
28,1,CA1-CA3,98.0,0.7132,1.0,29.0,4,0.0712,-0.002,0,0
28,1,CA1-CA3,98.0,0.7132,1.0,29.0,5,0.0647,0.0044,0,0
