animal,pair,window_bins,window_ms,mean_ifi,n_ccs,wmean_ifi
61,CA1-CA3,12,120,-0.09191341571440172,4,-0.10330866475981691
61,CA1-CA3,13,130,-0.09602964974523363,4,-0.09430316027151713
61,CA1-CA3,14,140,-0.1016862395580867,4,-0.10558280828067904
61,CA1-CA3,15,150,-0.07037314214857207,4,-0.08613261602062477
61,CA1-CA3,16,160,-0.01089818397970237,4,-0.04194697760313717
61,CA1-CA3,17,170,-0.0028054243037149602,4,-0.031276137163873174
61,CA1-CA3,18,180,0.02466250863762174,4,-0.00844557916245608
61,CA1-CA3,19,190,0.040312101337542705,4,0.005862333084695131
61,CA1-CA3,20,200,0.0516700948813326,4,0.025223731835103763
61,CA1-CA3,21,210,0.06495090227255859,4,0.037628909309712626
61,CA1-CA3,22,220,0.07477816399285675,4,0.03775339621195425
61,CA1-CA3,23,230,0.09433834538886893,4,0.050211083022431664
61,CA1-CA3,24,240,0.07554940709198117,4,0.03638985382363485
61,CA1-CA3,25,250,0.06672614725730622,4,0.03271051770938102
61,CA1-DG,1,10,0.10050424312082944,5,-0.03119504238339356
61,CA1-DG,2,20,0.038577291253513016,5,-0.1187883226975962
61,CA1-DG,3,30,0.07864634879635773,5,-0.17944250665539224
61,CA1-DG,4,40,-0.04621593686212665,5,-0.24255831449880197
61,CA1-DG,5,50,0.027917224001836792,5,-0.22492930439622927
61,CA1-DG,6,60,0.05238923493940473,5,-0.1985647604774401
61,CA1-DG,7,70,-0.003523546450442305,5,-0.211900001212926
61,CA1-DG,8,80,0.00588293736351494,5,-0.21888811708773684
61,CA1-DG,9,90,0.02100968608104179,5,-0.20837355564286444
61,CA1-DG,10,100,0.023960358437746295,5,-0.18746211823600112
61,CA1-DG,11,110,0.010707018814293921,5,-0.16996368415671215
61,CA1-DG,12,120,0.015448241554227509,5,-0.15124203384539608
61,CA1-DG,13,130,-0.008601898721271513,5,-0.1252707938423159
61,CA1-DG,14,140,-0.0002759620808547372,5,-0.11749662098126676
61,CA1-DG,15,150,0.07666638680406847,5,-0.08731005875378231
61,CA1-DG,16,160,0.06113956731106747,5,-0.10615373762435248
61,CA1-DG,17,170,0.05125271969973287,5,-0.11529475656037345
61,CA1-DG,18,180,0.06666844140338844,5,-0.11372715811899041
61,CA1-DG,19,190,0.07944207741091337,5,-0.11180060463064975
61,CA1-DG,20,200,0.08416406147207721,5,-0.10474604797426798
61,CA1-DG,21,210,0.04832885033046408,5,-0.13487254591171446
61,CA1-DG,22,220,0.03714826927843856,5,-0.1370228598937462
61,CA1-DG,23,230,0.03409019889550602,5,-0.13684680799717788
61,CA1-DG,24,240,0.01723635137453413,5,-0.15099890146390288
61,CA1-DG,25,250,0.01654323012989257,5,-0.14693017384507884
61,CA1-RSC,1,10,0.2423043168023331,7,0.179978040816317
61,CA1-RSC,2,20,0.3206209963572298,7,0.23498388818011617
61,CA1-RSC,3,30,0.266439035009025,7,0.21649214349864773
61,CA1-RSC,4,40,0.29460061373573543,7,0.22663882085314843
61,CA1-RSC,5,50,0.27714280051888507,7,0.2084390667809079
61,CA1-RSC,6,60,0.27843347480105335,7,0.2103696966146216
61,CA1-RSC,7,70,0.2045313130712611,7,0.16593252569530642
61,CA1-RSC,8,80,0.16293496243718186,7,0.13651503842529283
61,CA1-RSC,9,90,0.14682208406259578,7,0.12024249508342222
61,CA1-RSC,10,100,0.14136809980659176,7,0.10608147493191843
61,CA1-RSC,11,110,0.12225270566374839,7,0.08989887581932864
61,CA1-RSC,12,120,0.09489598158711376,7,0.07376051644513673
61,CA1-RSC,13,130,0.0889509573021868,7,0.0689550321459893
61,CA1-RSC,14,140,0.09985504807412952,7,0.07330052290600825
61,CA1-RSC,15,150,0.09401077640844943,7,0.07533827369916893
61,CA1-RSC,16,160,0.10212236154805344,7,0.08174179900893938
61,CA1-RSC,17,170,0.10003360569732814,7,0.08039596736863205
61,CA1-RSC,18,180,0.08817187664313102,7,0.06996648965191224
61,CA1-RSC,19,190,0.07644644888713663,7,0.06005710570431958
61,CA1-RSC,20,200,0.06190944401400673,7,0.04901674854400857
61,CA1-RSC,21,210,0.04563691793689507,7,0.0382504015911516
61,CA1-RSC,22,220,0.037392277077436566,7,0.03203632354437317
61,CA1-RSC,23,230,0.02694417343461412,7,0.022599644489060534
61,CA1-RSC,24,240,0.03011484030412553,7,0.02335744255107083
61,CA1-RSC,25,250,0.02414314460029282,7,0.019062395401366315
61,CA1-V1,1,10,0.13849256338857277,6,0.09721401345773609
61,CA1-V1,2,20,-0.18001069444442305,7,-0.06996712391047488
61,CA1-V1,3,30,-0.06804439452922739,7,0.0360701212079174
61,CA1-V1,4,40,0.11409042499473983,7,0.17762620945931154
61,CA1-V1,5,50,0.13459996465622445,7,0.20301653367507247
61,CA1-V1,6,60,0.11950735148705714,7,0.15355284544514677
61,CA1-V1,7,70,0.1004935995634177,7,0.14109084943936695
61,CA1-V1,8,80,0.08247140662421033,7,0.13827418411679432
61,CA1-V1,9,90,0.12182694131652161,7,0.1591890064608213
61,CA1-V1,10,100,0.14439581052642778,7,0.16140251326454025
61,CA1-V1,11,110,0.12205414080310935,7,0.1547878238832562
