animal,area,epoch,partner1,partner2,n_units,rho_conn,rho_intr,rho_resid,jaccard,jaccard_excess
75,CA1,expert,CA1-DG,CA1-RSC,25,0.71,1.0,0.6026033681560872,0.4,0.2372093023255814
75,CA1,expert,CA1-DG,CA1-SUB,25,0.7192307692307691,1.0,0.588687043584009,0.2727272727272727,0.10993657505285409
75,CA1,expert,CA1-DG,CA1-V1,25,0.5784615384615384,1.0,0.34703834064683137,0.2727272727272727,0.10993657505285409
75,CA1,expert,CA1-RSC,CA1-SUB,25,0.7915384615384615,1.0,0.7021146965868735,0.4,0.2372093023255814
75,CA1,expert,CA1-RSC,CA1-V1,25,0.44076923076923075,1.0,0.13203700052353817,0.2727272727272727,0.10993657505285409
75,CA1,expert,CA1-SUB,CA1-V1,25,0.45076923076923076,1.0,0.026053614217192468,0.16666666666666666,0.003875968992248041
75,CA1,intermediate,CA1-DG,CA1-RSC,25,0.3576923076923077,0.9976923076923077,0.20534444411242128,0.16666666666666666,0.003875968992248041
75,CA1,intermediate,CA1-DG,CA1-SUB,25,0.3861538461538461,0.9992307692307693,0.24986257793384473,0.16666666666666666,0.003875968992248041
75,CA1,intermediate,CA1-DG,CA1-V1,25,0.5169230769230769,0.9969230769230769,0.15297262423255006,0.16666666666666666,0.003875968992248041
75,CA1,intermediate,CA1-RSC,CA1-SUB,25,0.7999999999999999,0.9992307692307693,0.7755791773474114,0.5555555555555556,0.39276485788113696
75,CA1,intermediate,CA1-RSC,CA1-V1,25,0.39999999999999997,0.9992307692307693,0.25576387793467165,0.2727272727272727,0.10993657505285409
75,CA1,intermediate,CA1-SUB,CA1-V1,25,0.33153846153846156,0.9984615384615384,0.15566086561822082,0.07692307692307693,-0.08586762075134169
75,CA1,naive,CA1-DG,CA1-RSC,25,0.6007692307692307,0.9969230769230769,0.443422994582538,0.4,0.2372093023255814
75,CA1,naive,CA1-DG,CA1-SUB,25,0.5723076923076923,0.9969230769230769,0.23343337986353566,0.16666666666666666,0.003875968992248041
75,CA1,naive,CA1-DG,CA1-V1,25,0.6707692307692308,0.9961538461538462,0.6002604061912143,0.5555555555555556,0.39276485788113696
75,CA1,naive,CA1-RSC,CA1-SUB,25,0.5576923076923077,1.0,0.39619386053410055,0.2727272727272727,0.10993657505285409
75,CA1,naive,CA1-RSC,CA1-V1,25,0.40076923076923077,0.9992307692307693,0.271400917647255,0.16666666666666666,0.003875968992248041
75,CA1,naive,CA1-SUB,CA1-V1,25,0.41615384615384615,0.9992307692307693,0.24420203047798,0.07692307692307693,-0.08586762075134169
75,RSC,expert,CA1-RSC,RSC-SUB,196,0.9539695903879638,0.9989942892844791,0.3121010556576291,0.7818181818181819,0.638961038961039
75,RSC,expert,CA1-RSC,V1-RSC,196,0.9153962779893661,0.988070135173258,0.1801493320589706,0.6333333333333333,0.49047619047619045
75,RSC,expert,RSC-SUB,V1-RSC,196,0.9340254838694648,0.9880908550453688,0.1966029549985477,0.6896551724137931,0.5467980295566504
75,RSC,intermediate,CA1-RSC,RSC-SUB,196,0.9267270713300979,0.9989082534445799,0.08842771609172899,0.6610169491525424,0.5181598062953996
75,RSC,intermediate,CA1-RSC,V1-RSC,196,0.891467642066509,0.9938882090927375,0.08503892692682427,0.5806451612903226,0.43778801843317977
75,RSC,intermediate,RSC-SUB,V1-RSC,196,0.9332600189661081,0.9943392520099494,0.10261296700817021,0.6333333333333333,0.49047619047619045
75,RSC,naive,CA1-RSC,RSC-SUB,196,0.9737589604789417,0.9986819519860767,0.660286368775687,0.7818181818181819,0.638961038961039
75,RSC,naive,CA1-RSC,V1-RSC,196,0.9546340899763724,0.9960235431744398,0.3742433515620113,0.6896551724137931,0.5467980295566504
75,RSC,naive,RSC-SUB,V1-RSC,196,0.9692422137319273,0.9964650175394418,0.5316532144831049,0.7818181818181819,0.638961038961039
75,SUB,expert,CA1-SUB,RSC-SUB,38,0.524703179644044,0.975489659700186,0.1277097177022325,0.3333333333333333,0.1818181818181818
75,SUB,intermediate,CA1-SUB,RSC-SUB,38,0.5605646131961922,0.9951854688696794,0.022985856108150203,0.3333333333333333,0.1818181818181818
75,SUB,naive,CA1-SUB,RSC-SUB,38,0.3432541853594485,0.9908086223875697,0.05913786410492975,0.25,0.09848484848484848
75,V1,expert,CA1-V1,V1-RSC,63,0.5603398617511521,0.9889112903225807,-0.030901856335024083,0.3333333333333333,0.18787878787878787
