animal,learner,pair,block,n_trials,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,sh_x,sh_y,angle_x,angle_y,cc_kcca,gini_kcca_x,gini_kcca_y
71,0,RSC-SUB,late,10,27236,0.4382,8,0.361,0.0088,0,0.4747,0.1985,85.63,82.96,,,,,
71,0,V1-RSC,t1-5,5,14277,-0.251,12,1.2342,0.0174,0,0.3185,0.5436,65.03,63.32,82.28,78.76,,,
71,0,V1-RSC,t1-7,7,19427,0.3093,6,0.1685,0.0344,0,0.3131,0.5349,60.62,65.85,79.86,80.25,,,
71,0,V1-RSC,t1-10,10,27314,0.0102,13,0.2862,0.0414,0,0.3051,0.5452,66.39,58.53,84.7,78.36,,,
71,0,V1-RSC,late,10,27236,0.552,9,0.7774,-0.0026,0,0.289,0.4701,55.99,59.43,,,,,
73,1,CA1-RSC,t1-5,5,23508,0.1808,2,0.0238,0.0737,0,0.5535,0.4659,74.81,69.54,89.11,89.76,,,
73,1,CA1-RSC,t1-7,7,31824,0.1278,1,0.0082,0.0591,0,0.3648,0.4606,56.5,88.18,87.41,89.09,,,
73,1,CA1-RSC,t1-10,10,43845,0.1304,1,0.0086,0.084,4,0.3126,0.4797,65.34,72.7,84.7,89.39,,,
73,1,CA1-RSC,late,10,22845,0.0324,0,0.0,-0.0488,-5,0.1931,0.4399,77.84,82.79,,,,,
73,1,CA1-DG,t1-5,5,23508,0.1166,9,0.3468,-0.0149,0,0.5434,0.3583,47.93,83.47,85.15,87.82,,,
73,1,CA1-DG,t1-7,7,31824,-0.0451,12,0.2187,0.0032,0,0.3638,0.3423,83.76,87.13,83.95,88.71,,,
73,1,CA1-DG,t1-10,10,43845,0.2057,2,0.042,-0.0006,0,0.3122,0.3568,77.04,50.87,81.27,87.58,,,
73,1,CA1-DG,late,10,22845,-0.1068,10,0.2021,-0.0257,0,0.1935,0.1169,79.16,86.02,,,,,
73,1,CA1-V1,t1-5,5,23508,0.4901,7,0.2972,-0.0045,0,0.5454,0.4039,75.34,89.46,82.8,76.82,,,
73,1,CA1-V1,t1-7,7,31824,0.6574,8,0.4097,-0.0116,0,0.3681,0.4158,77.3,72.48,87.5,77.69,,,
73,1,CA1-V1,t1-10,10,43845,0.3047,2,0.0509,0.0035,0,0.3117,0.3685,77.38,59.67,80.87,86.65,,,
73,1,CA1-V1,late,10,22845,0.2176,4,0.0816,0.023,9,0.202,0.1427,84.53,68.28,,,,,
