pair,dim,n_animals,mean_ifi,t,p,cc_peak,fdr_pass
V1-RSC,9,8,-0.15736858289998892,-1.327556069640156,0.22598085885651462,0.036025,False
V1-RSC,10,8,0.12539807164921918,1.2899840015063007,0.23803438912069272,0.032325,False
V1-RSC,11,8,-0.0487974081985877,-0.2727733796401804,0.7928990620564336,0.02975,False
V1-RSC,12,8,-0.04966376303443332,-0.4533945334085646,0.6639855485508251,0.034625,False
V1-RSC,13,7,-0.0134711624288231,-0.09247804616276616,0.9293287323765871,0.03308571428571429,False
V1-RSC,14,7,-0.016829790464216707,-0.06521063321750847,0.950124741663438,0.032057142857142853,False
V1-RSC,15,7,0.09461359972150571,0.6539987864681109,0.5373571647740072,0.031585714285714286,False
V1-RSC,16,7,0.2510315802156775,1.7900270429468772,0.12364824964053064,0.029214285714285717,False
V1-RSC,17,6,0.1812991576806403,1.7521241645976373,0.14013825198697244,0.026099999999999998,False
V1-RSC,18,6,0.3244582006471874,3.2979801808029325,0.021523337015004206,0.030516666666666668,False
V1-RSC,19,5,-0.2843376049996861,-1.9735132946627578,0.11968697664898921,0.029279999999999994,False
V1-RSC,20,5,0.05015394927009725,0.4263371894351253,0.6918044164333144,0.02672,False
V1-RSC,21,5,-0.39456663107148543,-2.144859296347497,0.09854855138675735,0.02706,False
V1-RSC,22,5,0.024009904383246235,0.28352180978206765,0.7908461459721887,0.027800000000000002,False
V1-RSC,23,5,0.03979409378977736,0.17308428329593228,0.8709906680970172,0.023219999999999998,False
V1-RSC,24,5,0.1504636643603337,0.6869918614369942,0.5298453642640281,0.02658,False
V1-RSC,25,5,0.07972548971570231,0.5309079591055834,0.623592278736001,0.024,False
V1-RSC,26,5,-0.026037313066715383,-0.16051523698454934,0.8802554344977565,0.024759999999999997,False
V1-RSC,27,5,-0.15062020378487864,-1.293920832684392,0.26534735308443763,0.026740000000000003,False
V1-RSC,28,5,-0.1771142011427345,-0.5110732910334024,0.6362163083700453,0.02398,False
V1-RSC,29,5,-0.21936046950428656,-1.4345749485458752,0.22472403751905226,0.026940000000000002,False
V1-RSC,30,5,-0.3559450753593184,-2.4074705814980515,0.07375660711807192,0.02486,False
