animal,learner,pair,center_trial,trial_frac,performance,lp_rel,dim,cc,ifi,lag,sig
28,1,CA1-DG,8.0,0.0515,0.0162,-61.0,3,0.0157,-0.0195,-2,0
28,1,CA1-DG,8.0,0.0515,0.0162,-61.0,4,-0.0028,-0.0074,-1,0
28,1,CA1-DG,8.0,0.0515,0.0162,-61.0,5,0.0627,-0.0021,2,0
28,1,CA1-DG,8.0,0.0515,0.0162,-61.0,6,-0.0137,-0.0223,-1,0
28,1,CA1-DG,8.0,0.0515,0.0162,-61.0,7,-0.0047,-0.0019,10,0
28,1,CA1-DG,8.0,0.0515,0.0162,-61.0,8,-0.0273,0.0066,10,0
28,1,CA1-DG,8.0,0.0515,0.0162,-61.0,9,0.0692,-0.0387,-5,0
28,1,CA1-DG,8.0,0.0515,0.0162,-61.0,10,0.0126,-0.0453,-5,0
28,1,CA1-DG,8.0,0.0515,0.0162,-61.0,11,0.069,-0.0622,9,0
28,1,CA1-DG,13.0,0.0882,0.0162,-56.0,0,0.3095,-0.0085,1,1
28,1,CA1-DG,13.0,0.0882,0.0162,-56.0,1,0.186,-0.0234,0,1
28,1,CA1-DG,13.0,0.0882,0.0162,-56.0,2,0.038,0.0097,8,0
28,1,CA1-DG,13.0,0.0882,0.0162,-56.0,3,0.1098,-0.001,5,0
28,1,CA1-DG,13.0,0.0882,0.0162,-56.0,4,0.0629,-0.0198,8,0
28,1,CA1-DG,13.0,0.0882,0.0162,-56.0,5,0.0098,-0.008,0,0
28,1,CA1-DG,13.0,0.0882,0.0162,-56.0,6,0.0207,-0.0053,-6,0
28,1,CA1-DG,13.0,0.0882,0.0162,-56.0,7,0.0231,-0.0251,-8,0
28,1,CA1-DG,13.0,0.0882,0.0162,-56.0,8,-0.02,-0.002,-4,0
28,1,CA1-DG,13.0,0.0882,0.0162,-56.0,9,-0.014,-0.0066,-4,0
28,1,CA1-DG,13.0,0.0882,0.0162,-56.0,10,-0.0204,-0.0053,-4,0
28,1,CA1-DG,13.0,0.0882,0.0162,-56.0,11,-0.0156,-0.0303,-4,0
28,1,CA1-DG,18.0,0.125,0.0833,-51.0,0,0.2894,0.0224,1,1
28,1,CA1-DG,18.0,0.125,0.0833,-51.0,1,0.1012,0.0179,2,0
28,1,CA1-DG,18.0,0.125,0.0833,-51.0,2,0.0921,-0.006,0,0
28,1,CA1-DG,18.0,0.125,0.0833,-51.0,3,0.0519,-0.0154,0,0
28,1,CA1-DG,18.0,0.125,0.0833,-51.0,4,0.0216,-0.0031,0,0
28,1,CA1-DG,18.0,0.125,0.0833,-51.0,5,0.0916,-0.0262,0,0
28,1,CA1-DG,18.0,0.125,0.0833,-51.0,6,0.0178,-0.0075,-8,0
28,1,CA1-DG,18.0,0.125,0.0833,-51.0,7,0.0781,0.0102,0,0
28,1,CA1-DG,18.0,0.125,0.0833,-51.0,8,0.0386,0.0194,0,0
28,1,CA1-DG,18.0,0.125,0.0833,-51.0,9,-0.024,0.017,2,0
28,1,CA1-DG,18.0,0.125,0.0833,-51.0,10,-0.1287,0.0213,2,0
28,1,CA1-DG,18.0,0.125,0.0833,-51.0,11,0.0051,0.0159,2,0
28,1,CA1-DG,23.0,0.1618,0.1389,-46.0,0,0.2232,0.0191,1,1
28,1,CA1-DG,23.0,0.1618,0.1389,-46.0,1,0.2124,0.0093,2,1
28,1,CA1-DG,23.0,0.1618,0.1389,-46.0,2,0.1169,0.0209,-1,0
28,1,CA1-DG,23.0,0.1618,0.1389,-46.0,3,0.1716,0.0218,0,1
28,1,CA1-DG,23.0,0.1618,0.1389,-46.0,4,0.0752,0.0045,0,0
28,1,CA1-DG,23.0,0.1618,0.1389,-46.0,5,0.0762,-0.0043,0,0
28,1,CA1-DG,23.0,0.1618,0.1389,-46.0,6,0.1374,-0.0201,2,0
