animal,learner,pair,bin,trial_lo,trial_hi,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
70,0,V1-RSC,2,6,10,8000,0.4297,8,0.4706,0.0244,0,0.2852,0.3695
70,0,V1-RSC,3,11,15,8000,0.3234,10,0.5694,0.0231,0,0.2571,0.3782
70,0,V1-RSC,4,16,20,8000,0.5158,8,1.3029,-0.0194,0,0.2787,0.4002
70,0,V1-RSC,5,21,25,8000,0.0826,8,1.3226,0.0019,0,0.2967,0.3817
70,0,V1-RSC,6,26,30,8000,-0.0279,6,0.316,0.0176,0,0.3229,0.4143
71,0,CA1-RSC,1,1,5,8000,-0.4221,6,0.1179,0.0169,0,0.2824,0.5113
71,0,CA1-RSC,2,6,10,8000,-0.1971,5,0.2212,-0.0306,-4,0.3551,0.4992
71,0,CA1-RSC,3,11,15,8000,0.3934,7,0.2807,0.0229,0,0.2249,0.4695
71,0,CA1-RSC,4,16,20,8000,-0.3091,12,0.3673,-0.0519,-2,0.2529,0.4757
71,0,CA1-RSC,5,21,25,8000,0.3371,9,0.3981,-0.0128,0,0.1997,0.4169
71,0,CA1-RSC,6,26,30,8000,0.2032,4,0.1495,0.0208,-5,0.2123,0.4045
71,0,CA1-CA3,1,1,5,8000,-0.2082,6,0.535,-0.0242,0,0.2879,0.3505
71,0,CA1-CA3,2,6,10,8000,0.5622,11,1.6309,-0.0185,0,0.3561,0.3845
71,0,CA1-CA3,3,11,15,8000,0.5061,9,0.5157,-0.0862,0,0.2239,0.3618
71,0,CA1-CA3,4,16,20,8000,0.4103,7,0.4379,-0.0191,0,0.2531,0.3654
71,0,CA1-CA3,5,21,25,8000,0.4914,5,0.2495,-0.0136,0,0.1992,0.3348
71,0,CA1-CA3,6,26,30,8000,-0.0881,8,0.3222,-0.0521,0,0.2129,0.3153
71,0,CA1-DG,1,1,5,8000,0.2813,9,0.231,0.0335,0,0.2867,0.5279
71,0,CA1-DG,2,6,10,8000,0.5093,7,0.5524,0.0449,0,0.3538,0.5267
71,0,CA1-DG,3,11,15,8000,0.0236,7,0.1347,0.0676,0,0.2224,0.4848
71,0,CA1-DG,4,16,20,8000,0.3305,13,0.3383,0.0513,0,0.2528,0.4889
71,0,CA1-DG,5,21,25,8000,0.216,2,0.0458,0.0697,0,0.1921,0.4819
71,0,CA1-DG,6,26,30,8000,0.2214,2,0.0468,0.0294,0,0.2129,0.447
71,0,CA1-V1,1,1,5,8000,-0.3269,6,0.4534,0.0054,0,0.2864,0.3195
71,0,CA1-V1,2,6,10,8000,0.5408,8,0.5213,-0.008,3,0.355,0.3072
71,0,CA1-V1,3,11,15,8000,0.4515,7,0.5478,0.0038,2,0.225,0.2892
71,0,CA1-V1,4,16,20,8000,-0.3131,9,0.6024,0.0689,4,0.2523,0.3005
71,0,CA1-V1,5,21,25,8000,0.3872,7,0.3552,-0.0234,0,0.1997,0.2778
71,0,CA1-V1,6,26,30,8000,0.0879,6,0.1367,0.0284,-1,0.2129,0.2828
71,0,CA3-DG,1,1,5,8000,0.505,11,0.5016,0.0205,0,0.3437,0.5258
71,0,CA3-DG,2,6,10,8000,0.3247,10,0.4573,-0.0156,0,0.3763,0.5221
71,0,CA3-DG,3,11,15,8000,0.5173,9,0.3487,-0.0041,0,0.3581,0.4847
71,0,CA3-DG,4,16,20,8000,0.5066,10,0.3057,-0.0218,0,0.3576,0.4921
71,0,CA3-DG,5,21,25,8000,0.4498,4,0.2278,0.0042,0,0.3304,0.4804
71,0,CA3-DG,6,26,30,8000,0.4796,4,0.2635,0.0351,0,0.3157,0.4492
71,0,CA1-SUB,1,1,5,8000,0.1023,5,0.2838,-0.0215,0,0.2878,0.1976
