family,metric,cell,contrast,n,med_delta,t_p,w_p
pair,rho_contrib_conn_tomrel,CA1-V1 CA1,expert-intermediate,10,-0.0974,0.2629,0.32227
pair,rho_contrib_conn_tomrel,CA1-V1 V1,expert-naive,10,0.1256,0.90822,0.69531
pair,rho_contrib_conn_tomrel,CA1-V1 V1,intermediate-naive,10,0.0141,0.37181,0.375
pair,rho_contrib_conn_tomrel,CA1-V1 V1,expert-intermediate,10,0.0018,0.44029,1.0
pair,rho_contrib_conn_tomrel,CA3-DG CA3,expert-naive,4,0.2205,0.12451,0.125
pair,rho_contrib_conn_tomrel,CA3-DG CA3,intermediate-naive,4,0.1627,0.50089,0.625
pair,rho_contrib_conn_tomrel,CA3-DG CA3,expert-intermediate,4,0.021,0.58037,0.875
pair,rho_contrib_conn_tomrel,CA3-DG DG,expert-naive,4,0.0186,0.99606,1.0
pair,rho_contrib_conn_tomrel,CA3-DG DG,intermediate-naive,4,-0.1808,0.49206,0.625
pair,rho_contrib_conn_tomrel,CA3-DG DG,expert-intermediate,4,0.1079,0.39901,0.625
pair,rho_contrib_conn_tomrel,RSC-SUB RSC,expert-naive,4,-0.1456,0.41137,0.375
pair,rho_contrib_conn_tomrel,RSC-SUB RSC,intermediate-naive,4,-0.2588,0.16419,0.25
pair,rho_contrib_conn_tomrel,RSC-SUB RSC,expert-intermediate,4,0.0724,0.32456,0.375
pair,rho_contrib_conn_tomrel,RSC-SUB SUB,expert-naive,4,-0.1837,0.5632,0.875
pair,rho_contrib_conn_tomrel,RSC-SUB SUB,intermediate-naive,4,-0.1891,0.38383,0.625
pair,rho_contrib_conn_tomrel,RSC-SUB SUB,expert-intermediate,4,0.0952,0.64023,0.875
pair,rho_contrib_conn_tomrel,V1-RSC V1,expert-naive,6,0.0364,0.577,0.84375
pair,rho_contrib_conn_tomrel,V1-RSC V1,intermediate-naive,6,0.1892,0.42543,0.5625
pair,rho_contrib_conn_tomrel,V1-RSC V1,expert-intermediate,6,-0.1316,0.44131,0.4375
pair,rho_contrib_conn_tomrel,V1-RSC RSC,expert-naive,6,-0.2581,0.10955,0.21875
pair,rho_contrib_conn_tomrel,V1-RSC RSC,intermediate-naive,6,0.0231,0.73486,0.4375
pair,rho_contrib_conn_tomrel,V1-RSC RSC,expert-intermediate,6,-0.2282,0.15019,0.21875
pair,rho_contrib_conn_tomrel_ratepart,CA1-CA3 CA1,expert-naive,7,0.0669,0.18725,0.21875
pair,rho_contrib_conn_tomrel_ratepart,CA1-CA3 CA1,intermediate-naive,7,-0.0009,0.57678,0.9375
pair,rho_contrib_conn_tomrel_ratepart,CA1-CA3 CA1,expert-intermediate,7,0.0743,0.37813,0.375
pair,rho_contrib_conn_tomrel_ratepart,CA1-CA3 CA3,expert-naive,7,0.2265,0.81819,0.8125
pair,rho_contrib_conn_tomrel_ratepart,CA1-CA3 CA3,intermediate-naive,7,0.0186,0.76564,0.6875
pair,rho_contrib_conn_tomrel_ratepart,CA1-CA3 CA3,expert-intermediate,7,0.019,0.88197,0.8125
pair,rho_contrib_conn_tomrel_ratepart,CA1-DG CA1,expert-naive,8,0.069,0.66497,0.74219
pair,rho_contrib_conn_tomrel_ratepart,CA1-DG CA1,intermediate-naive,8,0.0087,0.87274,0.74219
