animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_x_conn,gini_y_conn,gini_x_sig,gini_y_sig,gini_pearson_x,gini_pearson_y,rot_x,rot_y,rot_x_cc1,rot_y_cc1,jac_x,jac_y,sh_x,sh_y,sh_x_cc1,sh_y_cc1
28,1,CA3-DG,68.0,0.4926,0.476,-1.0,14000,0.5646,3,0.2184,0.007,0,0.618,0.1027,0.5746,0.4822,0.5323,0.4287,0.672,0.4527,90.0,82.21,85.17,88.78,0.3333,0.6,86.08,52.86,18.27,10.84
28,1,CA3-DG,73.0,0.5294,0.5182,4.0,14000,0.5704,8,0.3719,0.0159,0,0.9697,0.0939,0.9697,0.2503,0.9697,0.1687,0.4591,0.3996,82.39,86.65,86.21,5.07,0.6,0.3333,45.36,42.75,0.0,18.32
28,1,CA3-DG,78.0,0.5662,0.6613,9.0,14000,0.507,7,0.3279,0.0221,0,0.94,0.1675,0.94,0.2903,0.94,0.225,0.5111,0.383,85.95,85.11,38.57,9.05,0.6,0.6,52.91,33.7,0.0,13.68
28,1,CA3-DG,83.0,0.6029,0.7651,14.0,16000,0.4916,4,0.1836,0.0423,0,0.1618,0.2796,0.385,0.3743,0.3338,0.3725,0.5161,0.4609,84.98,71.42,88.18,18.82,0.1429,1.0,81.59,76.61,7.79,18.63
28,1,CA3-DG,88.0,0.6397,0.9155,19.0,14000,0.5236,2,0.1808,-0.01,0,0.2247,0.3439,0.6321,0.484,0.6707,0.4456,0.6027,0.4833,89.49,81.13,6.69,32.62,0.1429,0.6,65.42,70.21,8.6,26.61
28,1,CA3-DG,93.0,0.6765,0.9833,24.0,14000,0.6103,6,0.3544,-0.0179,0,0.2829,0.3382,0.3828,0.4866,0.2865,0.4763,0.5485,0.4684,52.66,72.89,3.5,39.71,0.1429,0.6,86.61,78.36,8.54,41.65
28,1,CA3-DG,98.0,0.7132,1.0,29.0,14000,0.5902,5,0.2873,0.0134,0,0.2059,0.5195,0.4739,0.5025,0.3323,0.401,0.5705,0.417,51.28,21.67,5.46,24.59,0.6,0.6,86.02,24.05,19.84,14.6
28,1,CA3-DG,103.0,0.75,0.9333,34.0,14000,0.585,6,0.2963,0.0221,0,0.2049,0.4561,0.3781,0.4928,0.2395,0.4897,0.5783,0.4375,54.15,12.05,6.31,14.79,0.3333,0.6,80.16,32.08,15.34,45.39
28,1,CA3-DG,108.0,0.7868,0.8565,39.0,14000,0.4884,2,0.1479,0.0499,0,0.1959,0.3682,0.6628,0.5681,0.6945,0.5813,0.5638,0.4535,77.33,33.91,7.17,15.57,0.6,0.6,84.28,68.14,15.93,19.48
28,1,CA3-DG,113.0,0.8235,0.7989,44.0,18000,0.5194,3,0.1814,0.0371,0,0.2236,0.3755,0.6412,0.4901,0.5623,0.4788,0.5815,0.4426,66.43,55.17,5.01,8.88,0.6,1.0,52.39,30.19,13.03,8.11
28,1,CA3-DG,118.0,0.8603,0.7434,49.0,16000,0.5295,3,0.1829,0.0307,0,0.2649,0.3391,0.5851,0.4912,0.476,0.4828,0.5622,0.4441,32.06,20.88,5.57,17.11,0.3333,0.6,68.7,23.75,6.66,20.89
28,1,CA3-DG,123.0,0.8971,0.7314,54.0,14000,0.4537,3,0.1672,0.0011,0,0.357,0.4732,0.5358,0.7028,0.5668,0.7931,0.544,0.4229,71.08,37.13,5.52,14.34,0.6,0.6,40.47,26.33,71.94,46.86
28,1,CA3-DG,128.0,0.9338,0.6867,59.0,14000,0.4372,2,0.1172,0.0414,0,0.2442,0.3729,0.5861,0.5009,0.6011,0.5456,0.5869,0.4235,61.89,32.39,9.29,15.63,0.6,0.6,85.46,82.7,43.48,51.17
34,1,CA1-CA3,8.0,0.0933,0.1333,-40.0,14000,0.4576,7,0.2653,-0.0132,0,0.9671,0.3385,0.9672,0.3246,0.9673,0.2628,0.5454,0.451,nan,nan,nan,nan,,,57.17,73.78,24.18,72.91
