animal,learner,pair,bin,dim,cc,sig,ifi
28,1,CA3-DG,6,3,0.0325,0,-0.0201
28,1,CA3-DG,6,4,-0.0185,0,-0.0087
28,1,CA3-DG,6,5,0.0301,0,-0.0275
28,1,CA3-DG,6,6,-0.0486,0,0.0455
28,1,CA3-DG,6,7,-0.0186,0,0.0468
28,1,CA3-DG,6,8,0.0487,0,0.0142
28,1,CA3-DG,6,9,-0.0525,0,0.0481
28,1,CA3-DG,6,10,0.0235,0,0.1291
28,1,CA3-DG,6,11,-0.0284,0,0.0944
34,1,CA1-CA3,1,1,0.3956,1,-0.0222
34,1,CA1-CA3,1,2,0.2078,1,0.0319
34,1,CA1-CA3,1,3,0.0612,0,-0.0036
34,1,CA1-CA3,1,4,0.0347,0,0.0499
34,1,CA1-CA3,1,5,-0.0041,0,0.0331
34,1,CA1-CA3,1,6,0.0155,0,-0.0393
34,1,CA1-CA3,1,7,0.002,0,-0.0079
34,1,CA1-CA3,1,8,-0.0092,0,-0.005
34,1,CA1-CA3,1,9,0.0184,0,0.0256
34,1,CA1-CA3,1,10,0.0127,0,0.0066
34,1,CA1-CA3,1,11,-0.0066,0,0.0352
34,1,CA1-CA3,1,12,0.006,0,0.0452
34,1,CA1-CA3,1,13,-0.0202,0,0.0096
34,1,CA1-CA3,2,1,0.5186,1,-0.0003
34,1,CA1-CA3,2,2,0.2078,1,0.0056
34,1,CA1-CA3,2,3,0.1419,1,0.0317
34,1,CA1-CA3,2,4,0.0564,0,0.0213
34,1,CA1-CA3,2,5,0.0197,0,-0.0078
34,1,CA1-CA3,2,6,0.0087,0,-0.0149
34,1,CA1-CA3,2,7,0.0699,0,-0.0673
34,1,CA1-CA3,2,8,-0.0048,0,-0.0431
34,1,CA1-CA3,2,9,-0.0362,0,-0.0093
34,1,CA1-CA3,2,10,0.0444,0,-0.0411
34,1,CA1-CA3,2,11,0.0039,0,-0.0282
34,1,CA1-CA3,3,1,0.6109,1,-0.0296
34,1,CA1-CA3,3,2,0.4258,1,0.0485
34,1,CA1-CA3,3,3,-0.1833,0,-0.0169
34,1,CA1-CA3,3,4,0.2408,1,-0.0112
34,1,CA1-CA3,3,5,0.1985,1,-0.0448
34,1,CA1-CA3,3,6,0.2106,1,-0.042
34,1,CA1-CA3,3,7,0.2041,1,-0.0393
34,1,CA1-CA3,3,8,-0.1844,0,-0.0382
34,1,CA1-CA3,3,9,-0.2119,0,-0.0293
34,1,CA1-CA3,3,10,-0.2105,0,-0.0147
34,1,CA1-CA3,3,11,0.1929,1,-0.0264
34,1,CA1-CA3,3,12,-0.1852,0,-0.0328
34,1,CA1-CA3,4,1,0.8609,1,-0.0223
34,1,CA1-CA3,4,2,0.406,1,0.0198
34,1,CA1-CA3,4,3,0.1764,1,0.0722
34,1,CA1-CA3,4,4,0.0724,0,0.003
34,1,CA1-CA3,4,5,-0.0309,0,0.0112
34,1,CA1-CA3,4,6,0.001,0,0.0149
34,1,CA1-CA3,4,7,0.1097,0,0.0298
34,1,CA1-CA3,4,8,0.0941,0,-0.0325
34,1,CA1-CA3,4,9,-0.0215,0,-0.035
34,1,CA1-CA3,4,10,0.1123,0,-0.0407
34,1,CA1-CA3,4,11,0.0263,0,0.0003
34,1,CA1-CA3,5,1,0.5274,1,0.0037
34,1,CA1-CA3,5,2,0.2885,1,0.0033
34,1,CA1-CA3,5,3,0.2528,1,0.0054
34,1,CA1-CA3,5,4,-0.016,0,-0.0157
34,1,CA1-CA3,5,5,-0.1551,0,0.0026
34,1,CA1-CA3,5,6,0.1026,0,0.0212
34,1,CA1-CA3,5,7,0.0534,0,0.0257
34,1,CA1-CA3,5,8,0.0294,0,0.0003
34,1,CA1-CA3,5,9,-0.0642,0,-0.0536
34,1,CA1-CA3,5,10,0.0074,0,-0.0303
34,1,CA1-CA3,5,11,0.0757,0,-0.0092
