animal,learner,pair,cond,area,unit,contrib
41,1,CA1-V1,cued,V1,136,0.038064
41,1,CA1-V1,cued,V1,137,0.06547
41,1,CA1-V1,cued,V1,138,0.032803
41,1,CA1-V1,cued,V1,139,0.167114
41,1,CA1-V1,cued,V1,140,0.034643
41,1,CA1-V1,cued,V1,141,0.195093
41,1,CA1-V1,cued,V1,142,0.010485
41,1,CA1-V1,cued,V1,143,0.004345
41,1,CA1-V1,cued,V1,144,0.039237
41,1,CA1-V1,cued,V1,145,0.02897
41,1,CA1-V1,cued,V1,146,0.003212
41,1,CA1-V1,cued,V1,147,0.553683
41,1,CA1-V1,cued,V1,148,0.059897
41,1,CA1-V1,cued,V1,149,0.042635
41,1,CA1-V1,cued,V1,150,0.049314
41,1,CA1-V1,cued,V1,151,0.182856
41,1,CA1-V1,cued,V1,152,0.019199
41,1,CA1-V1,cued,V1,153,0.035337
41,1,CA1-V1,cued,V1,154,0.02634
52,1,CA1-RSC,uncued,CA1,0,0.110165
52,1,CA1-RSC,uncued,CA1,1,0.257887
52,1,CA1-RSC,uncued,CA1,2,0.043145
52,1,CA1-RSC,uncued,CA1,3,0.053788
52,1,CA1-RSC,uncued,CA1,4,0.0
52,1,CA1-RSC,uncued,CA1,5,0.002071
52,1,CA1-RSC,uncued,CA1,6,0.488394
52,1,CA1-RSC,uncued,CA1,7,0.018736
52,1,CA1-RSC,uncued,CA1,8,0.2064
52,1,CA1-RSC,uncued,CA1,9,0.008671
52,1,CA1-RSC,uncued,CA1,10,0.027258
52,1,CA1-RSC,uncued,CA1,11,0.073962
52,1,CA1-RSC,uncued,CA1,12,0.026146
52,1,CA1-RSC,uncued,CA1,13,0.038434
52,1,CA1-RSC,uncued,CA1,14,0.656506
52,1,CA1-RSC,uncued,CA1,15,0.385254
52,1,CA1-RSC,uncued,CA1,16,0.071876
52,1,CA1-RSC,uncued,CA1,17,0.005807
52,1,CA1-RSC,uncued,CA1,18,0.004759
52,1,CA1-RSC,uncued,CA1,19,0.559524
