pair,dims,lag_ms,n_animals,n_areas_used,angle_minus_floor,t,p,p_bonf,mean_angle,mean_floor,estimable
CA1-RSC,3,150,2,2,18.64,2.880989180834622,0.21268934970254316,1.0,76.10499999999999,57.464999999999996,True
CA1-RSC,3,200,2,2,17.165000000000006,0.9705965507492227,0.5094983563064106,1.0,74.63,57.464999999999996,True
CA1-RSC,3,250,2,2,13.115000000000009,1.1147471313217177,0.4654905655391445,1.0,70.58000000000001,57.464999999999996,True
CA1-CA3,3,-250,2,3,11.657500000000002,2.5833795013850427,0.23512127893158266,1.0,77.85333333333334,67.7,True
CA1-CA3,3,-200,2,3,15.697500000000005,4.106605624591232,0.15206380669355582,1.0,82.12333333333333,67.7,True
CA1-CA3,3,-150,2,3,6.789999999999999,3.378109452736321,0.18322216729463855,1.0,75.16,67.7,True
CA1-CA3,3,-100,2,3,13.232499999999998,3.5933469110658507,0.17279404531943285,1.0,82.15999999999998,67.7,True
CA1-CA3,3,-70,2,3,14.274999999999999,4.4679186228482,0.14017666040103882,1.0,83.04,67.7,True
CA1-CA3,3,-50,2,3,15.547500000000003,26.46382978723427,0.024044782227115053,0.24044782227115052,83.44333333333333,67.7,True
CA1-CA3,3,-40,2,3,6.1150000000000055,0.9935012185215285,0.5020753627291206,1.0,75.86666666666667,67.7,True
CA1-CA3,3,-30,2,3,11.617500000000003,69.35820895522373,0.0091780868452309,0.091780868452309,79.37333333333333,67.7,True
CA1-CA3,3,-20,2,3,12.0,2.3255813953488387,0.25853005344507707,1.0,77.98,67.7,True
CA1-CA3,3,-10,2,3,10.259999999999998,4.422413793103447,0.14157216350640187,1.0,77.18666666666667,67.7,True
CA1-CA3,3,10,2,3,-18.757499999999997,-2.370616113744076,0.2541282005426864,1.0,51.580000000000005,67.7,True
CA1-CA3,3,20,2,3,18.412500000000005,9.993215739484413,0.06349382592482843,0.6349382592482843,86.72666666666667,67.7,True
CA1-CA3,3,30,2,3,-4.922499999999999,-1.207234825260576,0.4404031849292597,1.0,64.13666666666667,67.7,True
CA1-CA3,3,40,2,3,3.9275000000000038,1.1375814627081817,0.4590815909304154,1.0,70.47666666666667,67.7,True
CA1-CA3,3,50,2,3,20.16,14.297872340425531,0.044453101037312356,0.4445310103731236,88.33,67.7,True
CA1-CA3,3,70,2,3,8.412500000000001,0.7502787068004462,0.5902209304259498,1.0,79.85000000000001,67.7,True
CA1-CA3,3,100,2,3,8.642499999999998,3.1744719926538143,0.1942789535513719,1.0,77.25,67.7,True
CA1-CA3,3,150,2,3,18.945,13.580645161290292,0.046792542634385,0.46792542634385004,87.11,67.7,True
CA1-CA3,3,200,2,3,15.845000000000006,3.332281808622502,0.18560244748508262,1.0,81.96,67.7,True
CA1-CA3,3,250,2,3,13.500000000000004,9.06040268456377,0.06998071781750168,0.6998071781750168,81.69666666666667,67.7,True
CA1-DG,3,-250,3,4,23.67833333333333,8.036308384456484,0.015133529130634824,0.15133529130634824,81.5325,57.2975,True
CA1-DG,3,-200,3,4,20.474999999999998,5.835119571407895,0.028136133634438756,0.28136133634438754,79.35,57.2975,True
CA1-DG,3,-150,3,4,4.619999999999998,0.6099484277263977,0.6039660851129932,1.0,65.495,57.2975,True
CA1-DG,3,-100,3,4,18.151666666666664,1.8116227993237057,0.21173994752102784,1.0,80.1875,57.2975,True
CA1-DG,3,-70,3,4,12.811666666666667,0.8708966048283381,0.47563562108348767,1.0,73.805,57.2975,True
CA1-DG,3,-50,3,4,24.695000000000004,3.086376518110379,0.09089326863065134,0.9089326863065134,84.9625,57.2975,True
CA1-DG,3,-40,3,4,11.62833333333333,0.8734736129943528,0.4745120115973094,1.0,73.705,57.2975,True
CA1-DG,3,-30,3,4,5.6433333333333335,0.370165778650501,0.7467836768740203,1.0,70.44749999999999,57.2975,True
CA1-DG,3,-20,3,4,18.57,3.032782379292829,0.09369266089524719,0.9369266089524719,74.475,57.2975,True
CA1-DG,3,-10,3,4,10.84666666666667,1.6736196666008922,0.23618041216613103,1.0,65.05,57.2975,True
CA1-DG,3,10,3,4,-7.045000000000002,-0.6686115623072152,0.5725815921596943,1.0,55.224999999999994,57.2975,True
CA1-DG,3,20,3,4,18.438333333333336,8.633512581048496,0.01315197120505979,0.1315197120505979,75.0675,57.2975,True
CA1-DG,3,30,3,4,9.476666666666667,2.8795310943520027,0.10240954058618529,1.0,66.48249999999999,57.2975,True
CA1-DG,3,40,3,4,7.05833333333333,2.2014851388548826,0.15864305464175138,1.0,65.5125,57.2975,True
CA1-DG,3,50,3,4,23.95,3.8064800162043833,0.06260512544787157,0.6260512544787157,83.935,57.2975,True
CA1-DG,3,70,3,4,9.919999999999998,0.5036798334338577,0.6644887023331044,1.0,72.565,57.2975,True
CA1-DG,3,100,3,4,21.938333333333333,3.206378700662153,0.08504370944630261,0.8504370944630262,81.565,57.2975,True
CA1-DG,3,150,3,4,22.896666666666665,3.378862207493629,0.07754015998023821,0.7754015998023821,83.5575,57.2975,True
