animal,learner,pair,ordinal,trial_id,n_bins,cc1,ifi,optimal_lag,gini_part_x,gini_part_y
73,1,CA1-RSC,7,7,830,0.0331,-0.3927,-7,0.439,0.5206
73,1,CA1-RSC,10,10,825,-0.0045,0.3805,1,0.6188,0.4444
73,1,CA1-DG,1,1,1130,0.1162,0.2982,0,0.4488,0.5482
73,1,CA1-DG,4,4,885,0.1036,0.083,5,0.4372,0.5705
73,1,CA1-DG,7,7,830,0.0505,0.1233,-6,0.5129,0.527
73,1,CA1-DG,10,10,825,0.0839,0.1785,5,0.4746,0.6637
73,1,CA1-V1,1,1,1130,0.0211,0.4799,0,0.4841,0.5752
73,1,CA1-V1,4,4,885,0.0247,-0.4328,-5,0.5235,0.587
73,1,CA1-V1,7,7,830,0.0592,-0.0421,-8,0.4404,0.578
73,1,CA1-V1,10,10,825,0.1136,0.2695,0,0.4913,0.6
73,1,CA1-SUB,1,1,1130,0.0274,1.0,7,0.5011,0.4262
73,1,CA1-SUB,4,4,885,0.1006,0.27,0,0.4677,0.4525
73,1,CA1-SUB,7,7,830,0.0567,-0.3399,0,0.4215,0.4697
73,1,CA1-SUB,10,10,825,0.1036,-0.0142,0,0.5708,0.4096
73,1,RSC-SUB,1,1,1130,0.1995,0.015,1,0.422,0.5873
73,1,RSC-SUB,4,4,885,0.1762,0.0684,-1,0.47,0.5353
73,1,RSC-SUB,7,7,830,0.2296,-0.0573,0,0.4815,0.617
73,1,RSC-SUB,10,10,825,0.1956,-0.0095,0,0.4253,0.513
73,1,V1-RSC,1,1,1130,0.2302,-0.1392,0,0.5613,0.4781
73,1,V1-RSC,4,4,885,0.2834,-0.0724,0,0.5673,0.4107
73,1,V1-RSC,7,7,830,0.1951,0.0047,0,0.6124,0.4957
73,1,V1-RSC,10,10,825,0.2651,0.0123,0,0.5588,0.4681
75,1,CA1-RSC,1,1,581,0.217,-0.0169,0,0.6348,0.4659
