animal,pair,ordinal,matched,tail_abs_r,degenerate_trial
28,CA3-DG,10,0,0.022672,0
28,CA3-DG,10,2,0.023102,0
34,CA1-CA3,1,0,0.026443333333333336,0
34,CA1-CA3,1,1,0.013716666666666667,0
34,CA1-CA3,1,2,0.011666666666666665,0
34,CA1-CA3,2,0,0.019496666666666666,0
34,CA1-CA3,2,1,0.019496666666666666,0
34,CA1-CA3,2,2,0.024679999999999997,0
34,CA1-CA3,3,0,0.015090000000000001,0
34,CA1-CA3,3,2,0.010973333333333333,0
34,CA1-CA3,4,0,0.004506666666666667,0
34,CA1-CA3,4,2,0.005863333333333334,0
34,CA1-CA3,5,0,0.021159999999999998,0
34,CA1-CA3,5,2,0.021463333333333334,0
34,CA1-CA3,6,0,0.011200000000000002,0
34,CA1-CA3,6,2,0.008163333333333333,0
34,CA1-CA3,7,0,0.00709,0
34,CA1-CA3,7,2,0.007366666666666666,0
34,CA1-CA3,8,0,0.016713333333333334,0
34,CA1-CA3,8,2,0.016713333333333334,0
34,CA1-CA3,9,0,0.015103333333333335,0
34,CA1-CA3,9,2,0.020146666666666667,0
34,CA1-CA3,10,0,0.02773,0
34,CA1-CA3,10,2,0.025283333333333335,0
34,CA1-V1,1,0,0.025528000000000002,0
34,CA1-V1,1,1,0.028658,0
34,CA1-V1,1,2,0.028346000000000003,0
34,CA1-V1,2,0,0.009108000000000002,0
34,CA1-V1,2,1,0.009108000000000002,0
34,CA1-V1,2,2,0.018232,0
34,CA1-V1,3,0,0.010846,0
34,CA1-V1,3,2,0.019181999999999998,0
34,CA1-V1,4,0,0.024756,0
34,CA1-V1,4,2,0.017848,0
34,CA1-V1,5,0,0.029794000000000005,0
34,CA1-V1,5,2,0.028402,0
34,CA1-V1,6,0,0.03510599999999999,0
34,CA1-V1,6,2,0.034586,0
34,CA1-V1,7,0,0.028834,0
34,CA1-V1,7,2,0.022182,0
34,CA1-V1,8,0,0.043354,0
34,CA1-V1,8,2,0.043354,0
34,CA1-V1,9,0,0.045138,0
34,CA1-V1,9,2,0.04391199999999999,0
34,CA1-V1,10,0,0.022543999999999998,0
34,CA1-V1,10,2,0.018644,0
36,CA1-V1,1,0,0.016276,0
36,CA1-V1,1,1,0.017534,0
36,CA1-V1,1,2,0.019823999999999998,0
36,CA1-V1,2,0,0.014863999999999999,0
36,CA1-V1,2,1,0.014863999999999999,0
36,CA1-V1,2,2,0.023471999999999996,0
36,CA1-V1,3,0,0.024508,0
36,CA1-V1,3,2,0.019756,0
36,CA1-V1,4,0,0.018022,0
36,CA1-V1,4,2,0.013003999999999998,0
36,CA1-V1,5,0,0.018716000000000003,0
36,CA1-V1,5,2,0.01874,0
36,CA1-V1,6,0,0.023216,0
36,CA1-V1,6,2,0.020315999999999997,0
36,CA1-V1,7,0,0.021592,0
36,CA1-V1,7,2,0.021986000000000006,0
36,CA1-V1,8,0,0.015424000000000002,0
36,CA1-V1,8,2,0.01494,0
36,CA1-V1,9,0,0.019198,0
36,CA1-V1,9,2,0.019198,0
36,CA1-V1,10,0,0.012889999999999999,0
36,CA1-V1,10,2,0.010732,0
41,CA1-CA3,1,0,0.014119999999999999,0
41,CA1-CA3,1,1,0.014464,0
41,CA1-CA3,1,2,0.019836,0
41,CA1-CA3,2,0,0.01774,0
41,CA1-CA3,2,1,0.01774,0
41,CA1-CA3,2,2,0.020588,0
41,CA1-CA3,3,0,0.015692,0
41,CA1-CA3,3,2,0.017942000000000003,0
41,CA1-CA3,4,0,0.019596000000000002,0
41,CA1-CA3,4,2,0.02296,0
41,CA1-CA3,5,0,0.037000000000000005,0
41,CA1-CA3,5,2,0.036358,0
41,CA1-CA3,6,0,0.033867999999999995,0
41,CA1-CA3,6,2,0.042704000000000006,0
