animal,learner,pair,cond,area,unit,contrib
41,1,CA1-V1,cued,V1,36,0.048588
41,1,CA1-V1,cued,V1,37,0.062353
41,1,CA1-V1,cued,V1,38,0.074403
41,1,CA1-V1,cued,V1,39,0.096108
41,1,CA1-V1,cued,V1,40,0.073312
41,1,CA1-V1,cued,V1,41,0.059467
41,1,CA1-V1,cued,V1,42,0.045101
41,1,CA1-V1,cued,V1,43,0.081996
41,1,CA1-V1,cued,V1,44,0.027492
41,1,CA1-V1,cued,V1,45,0.019921
41,1,CA1-V1,cued,V1,46,0.107086
41,1,CA1-V1,cued,V1,47,0.017394
41,1,CA1-V1,cued,V1,48,0.067644
41,1,CA1-V1,cued,V1,49,0.020318
41,1,CA1-V1,cued,V1,50,0.049024
41,1,CA1-V1,cued,V1,51,0.092839
41,1,CA1-V1,cued,V1,52,0.049693
41,1,CA1-V1,cued,V1,53,0.007767
41,1,CA1-V1,cued,V1,54,0.020155
41,1,CA1-V1,cued,V1,55,0.098349
41,1,CA1-V1,cued,V1,56,0.039042
41,1,CA1-V1,cued,V1,57,0.047887
41,1,CA1-V1,cued,V1,58,0.076242
41,1,CA1-V1,cued,V1,59,0.079725
41,1,CA1-V1,cued,V1,60,0.010696
41,1,CA1-V1,cued,V1,61,0.324636
41,1,CA1-V1,cued,V1,62,0.050197
41,1,CA1-V1,cued,V1,63,0.128386
41,1,CA1-V1,cued,V1,64,0.031619
41,1,CA1-V1,cued,V1,65,0.1956
41,1,CA1-V1,cued,V1,66,0.012149
41,1,CA1-V1,cued,V1,67,0.024043
41,1,CA1-V1,cued,V1,68,0.159592
41,1,CA1-V1,cued,V1,69,0.119558
41,1,CA1-V1,cued,V1,70,0.017513
41,1,CA1-V1,cued,V1,71,0.155666
41,1,CA1-V1,cued,V1,72,0.026146
41,1,CA1-V1,cued,V1,73,0.145553
41,1,CA1-V1,cued,V1,74,0.129468
41,1,CA1-V1,cued,V1,75,0.132664
41,1,CA1-V1,cued,V1,76,0.471351
41,1,CA1-V1,cued,V1,77,0.114412
41,1,CA1-V1,cued,V1,78,0.411849
41,1,CA1-V1,cued,V1,79,0.132053
41,1,CA1-V1,cued,V1,80,0.078256
41,1,CA1-V1,cued,V1,81,0.553807
41,1,CA1-V1,cued,V1,82,0.008863
41,1,CA1-V1,cued,V1,83,0.155158
41,1,CA1-V1,cued,V1,84,0.142247
41,1,CA1-V1,cued,V1,85,0.365176
41,1,CA1-V1,cued,V1,86,0.086241
41,1,CA1-V1,cued,V1,87,0.204465
41,1,CA1-V1,cued,V1,88,0.087114
41,1,CA1-V1,cued,V1,89,0.111562
41,1,CA1-V1,cued,V1,90,0.168061
41,1,CA1-V1,cued,V1,91,0.01751
41,1,CA1-V1,cued,V1,92,0.569563
41,1,CA1-V1,cued,V1,93,0.45146
41,1,CA1-V1,cued,V1,94,0.103415
41,1,CA1-V1,cued,V1,95,0.027741
41,1,CA1-V1,cued,V1,96,0.024814
41,1,CA1-V1,cued,V1,97,0.101349
41,1,CA1-V1,cued,V1,98,0.028241
41,1,CA1-V1,cued,V1,99,0.090693
41,1,CA1-V1,cued,V1,100,0.057525
41,1,CA1-V1,cued,V1,101,0.005359
41,1,CA1-V1,cued,V1,102,0.588621
41,1,CA1-V1,cued,V1,103,0.392517
41,1,CA1-V1,cued,V1,104,0.136244
41,1,CA1-V1,cued,V1,105,0.02145
41,1,CA1-V1,cued,V1,106,0.09365
41,1,CA1-V1,cued,V1,107,0.077336
41,1,CA1-V1,cued,V1,108,0.051079
41,1,CA1-V1,cued,V1,109,0.014393
41,1,CA1-V1,cued,V1,110,0.012656
41,1,CA1-V1,cued,V1,111,0.012506
41,1,CA1-V1,cued,V1,112,0.031641
41,1,CA1-V1,cued,V1,113,0.01713
41,1,CA1-V1,cued,V1,114,0.055809
41,1,CA1-V1,cued,V1,115,0.130839
41,1,CA1-V1,cued,V1,116,0.149886
41,1,CA1-V1,cued,V1,117,0.366545
41,1,CA1-V1,cued,V1,118,0.035855
41,1,CA1-V1,cued,V1,119,0.004885
41,1,CA1-V1,cued,V1,120,0.038899
41,1,CA1-V1,cued,V1,121,0.014614
41,1,CA1-V1,cued,V1,122,0.048059
41,1,CA1-V1,cued,V1,123,0.079385
41,1,CA1-V1,cued,V1,124,0.030552
41,1,CA1-V1,cued,V1,125,0.030234
41,1,CA1-V1,cued,V1,126,0.022363
41,1,CA1-V1,cued,V1,127,0.044184
41,1,CA1-V1,cued,V1,128,0.034645
41,1,CA1-V1,cued,V1,129,0.067236
41,1,CA1-V1,cued,V1,130,0.030453
41,1,CA1-V1,cued,V1,131,0.03006
41,1,CA1-V1,cued,V1,132,0.132744
41,1,CA1-V1,cued,V1,133,0.052994
41,1,CA1-V1,cued,V1,134,0.061736
41,1,CA1-V1,cued,V1,135,0.146003
41,1,CA1-V1,cued,V1,136,0.09856
41,1,CA1-V1,cued,V1,137,0.032577
41,1,CA1-V1,cued,V1,138,0.012119
41,1,CA1-V1,cued,V1,139,0.084694
41,1,CA1-V1,cued,V1,140,0.492455
41,1,CA1-V1,cued,V1,141,0.079837
41,1,CA1-V1,cued,V1,142,0.163308
