animal,learner,pair,scope,n_bins,cc_kcca,cc_linear,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
75,1,V1-RSC,expert,900,0.6238,0.6267,3,0.5025,0.1281,0,0.3254,0.4159
77,1,CA1-RSC,session,900,0.219,0.21,2,0.0264,0.0098,0,0.2179,0.2711
77,1,CA1-RSC,naive,900,0.131,0.1313,2,0.016,0.1429,0,0.2279,0.3117
77,1,CA1-RSC,intermediate,900,0.13,0.1772,2,0.0301,0.2656,5,0.317,0.3228
77,1,CA1-RSC,expert,900,0.1293,0.3025,2,0.0264,-0.0531,0,0.3204,0.3075
77,1,CA1-DG,session,900,0.0244,0.0626,0,0.0,-0.0449,-2,0.2231,0.1578
77,1,CA1-DG,naive,900,0.063,0.1882,0,0.0,-0.6682,-4,0.4606,0.4206
77,1,CA1-DG,intermediate,900,0.0949,-0.0378,0,0.0,0.0141,0,0.2613,0.259
77,1,CA1-DG,expert,900,-0.0306,0.0064,0,0.0,0.6525,8,0.2599,0.2765
77,1,CA1-V1,session,900,0.013,0.1296,0,0.0,-0.7067,-1,0.1642,0.1887
77,1,CA1-V1,naive,900,-0.0205,-0.2655,0,0.0,-0.6363,-6,0.2723,0.2429
77,1,CA1-V1,intermediate,900,0.0817,0.3277,1,0.0033,0.0477,1,0.2115,0.2781
77,1,CA1-V1,expert,900,0.0499,-0.0699,0,0.0,-0.0463,0,0.1722,0.321
77,1,CA1-SUB,session,900,-0.047,-0.0235,0,0.0,-0.5579,-8,0.2752,0.3836
77,1,CA1-SUB,naive,900,0.0529,-0.2978,0,0.0,-0.1762,-2,0.3491,0.2212
77,1,CA1-SUB,intermediate,900,-0.0184,-0.2164,0,0.0,0.5136,7,0.194,0.3322
77,1,CA1-SUB,expert,900,0.0036,0.0938,1,0.0061,-0.5138,-8,0.2285,0.2743
77,1,RSC-SUB,session,900,0.1131,0.1155,3,0.0211,-0.6448,-3,0.283,0.5347
77,1,RSC-SUB,naive,900,0.2007,0.1014,3,0.0508,0.078,0,0.3309,0.424
77,1,RSC-SUB,intermediate,900,0.2163,0.1974,1,0.024,0.3663,0,0.3049,0.4592
77,1,RSC-SUB,expert,900,0.2195,0.1578,1,0.0247,0.3418,2,0.3146,0.3941
77,1,V1-RSC,session,900,0.4853,0.4492,3,0.2664,0.0706,0,0.3361,0.3196
77,1,V1-RSC,naive,900,0.4692,0.4518,2,0.2001,0.1293,0,0.3035,0.3568
77,1,V1-RSC,intermediate,900,0.4538,0.395,2,0.2453,-0.018,0,0.2376,0.3355
77,1,V1-RSC,expert,900,0.4994,0.479,2,0.2513,0.0714,0,0.3159,0.3254
98,0,CA1-RSC,session,900,0.2245,0.2485,3,0.0539,0.3138,0,0.3238,0.3289
100,0,CA1-RSC,session,900,-0.0284,0.0559,0,0.0,0.2595,3,0.2587,0.2418
100,0,CA1-DG,session,900,0.4476,0.4555,2,0.1238,0.0241,0,0.2921,0.3966
100,0,CA1-V1,session,900,0.216,0.1637,1,0.0239,0.0258,0,0.2865,0.3124
100,0,CA1-SUB,session,900,0.028,-0.0084,0,0.0,0.6206,0,0.2654,0.2704
100,0,RSC-SUB,session,900,0.0821,0.0626,0,0.0,-0.4138,-4,0.271,0.2728
100,0,V1-RSC,session,900,0.2177,0.2924,3,0.0914,-0.694,0,0.2726,0.2804
