animal,learner,pair,block,n_trials,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,sh_x,sh_y,angle_x,angle_y,cc_kcca,gini_kcca_x,gini_kcca_y
71,0,CA1-V1,t1-10,10,27314,-0.0119,8,0.3692,0.0072,4,0.2895,0.3106,86.64,87.9,88.17,87.5,,,
71,0,CA1-V1,late,10,27236,0.4118,8,0.4313,-0.0506,0,0.1739,0.3066,81.99,86.42,,,,,
71,0,CA3-DG,t1-5,5,14277,0.4797,17,0.525,0.0463,0,0.3487,0.5364,38.32,52.89,85.01,79.96,,,
71,0,CA3-DG,t1-7,7,19427,0.4526,13,0.3599,0.0396,0,0.3585,0.5498,31.19,45.43,83.59,79.15,,,
71,0,CA3-DG,t1-10,10,27314,0.4653,11,0.3373,0.0266,0,0.3844,0.5409,38.52,50.38,83.89,80.05,,,
71,0,CA3-DG,late,10,27236,0.5155,7,0.3103,-0.0344,0,0.3805,0.4518,43.09,56.71,,,,,
71,0,CA1-SUB,t1-5,5,14277,-0.1963,4,1.134,0.0022,0,0.3156,0.2165,86.62,76.41,78.38,87.46,,,
71,0,CA1-SUB,t1-7,7,19427,-0.117,6,0.2486,0.0194,0,0.2856,0.2112,89.63,69.15,86.82,87.2,,,
71,0,CA1-SUB,t1-10,10,27314,0.0942,6,0.3624,0.0279,0,0.2899,0.1871,55.93,77.41,88.52,84.62,,,
71,0,CA1-SUB,late,10,27236,0.446,7,0.3458,0.0315,0,0.1738,0.2295,85.2,83.66,,,,,
71,0,RSC-SUB,t1-5,5,14277,0.8138,11,1.0841,-0.0161,0,0.5592,0.1948,76.06,85.15,89.36,81.2,,,
71,0,RSC-SUB,t1-7,7,19427,0.3172,7,0.1118,-0.0056,0,0.5518,0.1872,59.68,66.3,88.93,88.11,,,
71,0,RSC-SUB,t1-10,10,27314,0.3451,14,0.3229,-0.0095,0,0.5664,0.1725,53.41,47.15,88.41,86.25,,,
71,0,RSC-SUB,late,10,27236,0.0602,7,0.441,-0.0037,0,0.485,0.1984,86.72,86.61,,,,,
71,0,V1-RSC,t1-5,5,14277,-0.1465,8,1.0176,0.0003,0,0.3178,0.5535,66.61,62.99,86.68,81.22,,,
71,0,V1-RSC,t1-7,7,19427,0.2867,6,0.1461,0.0134,0,0.3125,0.5481,61.37,67.79,84.74,81.68,,,
71,0,V1-RSC,t1-10,10,27314,0.057,12,0.282,0.0121,0,0.303,0.5628,70.83,61.57,89.52,81.5,,,
71,0,V1-RSC,late,10,27236,0.1175,11,0.4531,-0.0373,0,0.2914,0.48,53.19,56.22,,,,,
73,1,CA1-RSC,t1-5,5,23508,0.156,1,0.0123,-0.0204,0,0.5716,0.4706,79.55,88.54,84.84,82.56,,,
73,1,CA1-RSC,t1-7,7,31824,0.0377,0,0.0,0.0693,1,0.3814,0.4576,83.14,85.3,86.99,88.43,,,
73,1,CA1-RSC,t1-10,10,43845,0.0563,0,0.0,0.06,4,0.3263,0.4606,86.42,79.27,79.16,81.84,,,
73,1,CA1-RSC,late,10,22845,-0.0058,0,0.0,-0.0612,-5,0.2141,0.4339,85.43,77.73,,,,,
73,1,CA1-DG,t1-5,5,23508,0.7101,7,0.5384,-0.0626,0,0.5592,0.3517,82.82,85.7,86.22,89.61,,,
73,1,CA1-DG,t1-7,7,31824,0.3982,12,0.2939,-0.029,0,0.3801,0.3352,83.73,79.32,85.08,87.55,,,
73,1,CA1-DG,t1-10,10,43845,0.2094,1,0.0224,-0.0233,0,0.3257,0.3458,79.09,86.51,87.39,87.62,,,
73,1,CA1-DG,late,10,22845,0.2627,9,0.1846,0.0013,0,0.2146,0.1288,86.56,78.5,,,,,
73,1,CA1-V1,t1-5,5,23508,0.787,6,0.5638,-0.0071,0,0.5594,0.4156,84.73,71.44,89.5,86.97,,,
73,1,CA1-V1,t1-7,7,31824,0.7103,9,0.4847,-0.0067,0,0.3842,0.4272,83.78,81.25,89.13,83.49,,,
73,1,CA1-V1,t1-10,10,43845,0.291,1,0.0442,0.0145,0,0.3117,0.3793,86.39,89.73,86.7,79.81,,,
73,1,CA1-V1,late,10,22845,0.2052,8,0.1323,0.0404,9,0.2183,0.1484,88.99,88.03,,,,,
73,1,CA1-SUB,t1-5,5,23508,0.5088,11,0.422,0.0243,0,0.5757,0.155,83.28,89.37,82.82,84.8,,,
73,1,CA1-SUB,t1-7,7,31824,0.3119,10,0.2097,0.0663,4,0.3818,0.1502,82.25,79.2,84.54,87.75,,,
73,1,CA1-SUB,t1-10,10,43845,0.1276,1,0.0082,0.0192,0,0.3266,0.1402,87.27,76.08,82.33,87.65,,,
73,1,CA1-SUB,late,10,22845,0.196,9,0.1618,-0.0019,4,0.2146,0.0847,84.31,82.98,,,,,
