animal,learner,pair,block,n_trials,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,sh_x,sh_y,angle_x,angle_y,cc_kcca,gini_kcca_x,gini_kcca_y
70,0,RSC-SUB,t1-7,7,8374,0.6301,6,0.4964,0.0329,0,0.3728,0.2862,60.43,52.95,76.96,67.22,0.3678,0.327,0.5297
70,0,RSC-SUB,t1-10,10,12018,0.6288,12,0.7962,0.0341,0,0.3675,0.2245,83.01,83.18,77.28,58.94,0.4128,0.3099,0.572
70,0,RSC-SUB,late,10,8142,0.6207,7,0.5627,0.0501,0,0.3796,0.2396,71.63,68.59,,,0.2492,0.3159,0.51
70,0,V1-RSC,t1-5,5,5808,0.0481,4,0.2581,0.0164,0,0.2712,0.3867,57.62,54.3,67.83,79.95,0.3648,0.2792,0.3477
70,0,V1-RSC,t1-7,7,8374,0.0811,8,0.5992,0.0226,0,0.2611,0.3666,85.67,82.42,86.56,85.22,0.3654,0.314,0.3482
70,0,V1-RSC,t1-10,10,12018,-0.1443,14,0.9726,0.0284,0,0.2421,0.3643,69.66,73.14,84.08,81.68,0.3675,0.3341,0.307
70,0,V1-RSC,late,10,8142,0.0292,7,0.8613,0.0901,0,0.2539,0.369,75.76,79.71,,,0.3449,0.2922,0.2986
71,0,CA1-RSC,t1-5,5,2852,-0.1519,4,0.3416,0.0052,0,0.3086,0.4097,87.84,87.52,89.77,89.44,0.1041,0.4125,0.3754
71,0,CA1-RSC,t1-7,7,3882,-0.1732,2,0.0629,0.0107,0,0.285,0.4141,79.54,86.38,85.86,87.3,0.0501,0.3948,0.35
71,0,CA1-RSC,t1-10,10,5459,-0.1735,7,0.1893,0.0019,0,0.2919,0.4269,79.4,89.78,80.67,89.54,0.0444,0.336,0.3157
71,0,CA1-RSC,late,10,5443,0.0626,6,0.5236,-0.0096,0,0.1621,0.3502,89.96,84.54,,,0.1138,0.2932,0.3067
71,0,CA1-CA3,t1-5,5,2852,-0.0467,8,0.4401,-0.0041,0,0.3091,0.3264,83.57,85.35,79.18,89.2,0.0972,0.3878,0.2938
71,0,CA1-CA3,t1-7,7,3882,0.4615,14,0.7585,-0.0361,0,0.2844,0.3159,72.01,83.14,87.62,86.83,0.1083,0.3561,0.3341
71,0,CA1-CA3,t1-10,10,5459,0.4075,11,0.8234,-0.054,0,0.2923,0.3342,77.87,78.6,87.83,83.97,0.1836,0.3059,0.297
71,0,CA1-CA3,late,10,5443,0.6055,11,1.1218,-0.019,0,0.1588,0.3349,82.49,83.04,,,0.2506,0.3038,0.4252
71,0,CA1-DG,t1-5,5,2852,0.1675,6,0.2373,-0.0203,0,0.3077,0.4427,60.3,88.02,78.63,87.76,0.2371,0.3875,0.4419
71,0,CA1-DG,t1-7,7,3882,0.3602,8,0.3313,0.007,0,0.2836,0.4742,78.01,78.29,79.34,83.68,0.1819,0.3645,0.449
71,0,CA1-DG,t1-10,10,5459,0.2774,10,0.3356,-0.001,0,0.2926,0.4706,72.98,77.61,84.54,82.79,0.2867,0.3727,0.4212
71,0,CA1-DG,late,10,5443,0.1665,0,0.0,0.0121,0,0.1594,0.3796,68.45,82.65,,,0.1605,0.3069,0.3428
