family,metric,cell,contrast,n,med_delta,t_p,w_p
pair,rho_contrib_conn_tune_ratepart,CA1-SUB CA1,expert-intermediate,4,-0.0439,0.25882,0.125
pair,rho_contrib_conn_tune_ratepart,CA1-SUB SUB,expert-naive,4,0.1159,0.29097,0.25
pair,rho_contrib_conn_tune_ratepart,CA1-SUB SUB,intermediate-naive,4,0.2852,0.3152,0.375
pair,rho_contrib_conn_tune_ratepart,CA1-SUB SUB,expert-intermediate,4,-0.2464,0.50621,0.375
pair,rho_contrib_conn_tune_ratepart,CA1-V1 CA1,expert-naive,10,0.05,0.36515,0.375
pair,rho_contrib_conn_tune_ratepart,CA1-V1 CA1,intermediate-naive,10,0.1316,0.07721,0.10547
pair,rho_contrib_conn_tune_ratepart,CA1-V1 CA1,expert-intermediate,10,-0.1513,0.22211,0.23242
pair,rho_contrib_conn_tune_ratepart,CA1-V1 V1,expert-naive,10,0.0906,0.88523,0.55664
pair,rho_contrib_conn_tune_ratepart,CA1-V1 V1,intermediate-naive,10,0.2288,0.05858,0.08398
pair,rho_contrib_conn_tune_ratepart,CA1-V1 V1,expert-intermediate,10,-0.0579,0.28291,0.49219
pair,rho_contrib_conn_tune_ratepart,CA3-DG CA3,expert-naive,4,0.1668,0.20036,0.25
pair,rho_contrib_conn_tune_ratepart,CA3-DG CA3,intermediate-naive,4,-0.0573,0.22319,0.125
pair,rho_contrib_conn_tune_ratepart,CA3-DG CA3,expert-intermediate,4,0.2041,0.16979,0.25
pair,rho_contrib_conn_tune_ratepart,CA3-DG DG,expert-naive,4,-0.1295,0.88246,0.875
pair,rho_contrib_conn_tune_ratepart,CA3-DG DG,intermediate-naive,4,-0.2365,0.2777,0.25
pair,rho_contrib_conn_tune_ratepart,CA3-DG DG,expert-intermediate,4,0.2243,0.18058,0.25
pair,rho_contrib_conn_tune_ratepart,RSC-SUB RSC,expert-naive,4,0.061,0.959,0.875
pair,rho_contrib_conn_tune_ratepart,RSC-SUB RSC,intermediate-naive,4,0.0037,0.52267,1.0
pair,rho_contrib_conn_tune_ratepart,RSC-SUB RSC,expert-intermediate,4,0.0524,0.63672,0.875
pair,rho_contrib_conn_tune_ratepart,RSC-SUB SUB,expert-naive,4,0.1622,0.31259,0.375
pair,rho_contrib_conn_tune_ratepart,RSC-SUB SUB,intermediate-naive,4,0.0767,0.24128,0.25
pair,rho_contrib_conn_tune_ratepart,RSC-SUB SUB,expert-intermediate,4,-0.0648,0.8726,0.875
